Filtered (MAV) muscles activityendheader

time	SOL_L	SOL_R	TA_L	TA_R	GL_L	GL_R
39.99950000	0.00002205	0.00012472	0.00007215	0.00005011	0.00001732	0.00006664
40.00000000	0.00002208	0.00012516	0.00007220	0.00005105	0.00001732	0.00006790
40.00050000	0.00002208	0.00012527	0.00007222	0.00005142	0.00001732	0.00007221
40.00100000	0.00002204	0.00012602	0.00007235	0.00005152	0.00001731	0.00007746
40.00150000	0.00002196	0.00012733	0.00007234	0.00005150	0.00001729	0.00008170
40.00200000	0.00002187	0.00012906	0.00007186	0.00005170	0.00001727	0.00008524
40.00250000	0.00002182	0.00013068	0.00007103	0.00005255	0.00001727	0.00008826
40.00300000	0.00002178	0.00013174	0.00007000	0.00005420	0.00001727	0.00009020
40.00350000	0.00002176	0.00013222	0.00006891	0.00005620	0.00001728	0.00009092
40.00400000	0.00002175	0.00013235	0.00006785	0.00005784	0.00001728	0.00009098
40.00450000	0.00002177	0.00013238	0.00006692	0.00005906	0.00001727	0.00009106
40.00500000	0.00002179	0.00013238	0.00006642	0.00006003	0.00001721	0.00009141
40.00550000	0.00002179	0.00013236	0.00006635	0.00006073	0.00001713	0.00009175
40.00600000	0.00002179	0.00013233	0.00006639	0.00006109	0.00001704	0.00009201
40.00650000	0.00002181	0.00013230	0.00006633	0.00006112	0.00001695	0.00009232
40.00700000	0.00002183	0.00013232	0.00006636	0.00006116	0.00001688	0.00009282
40.00750000	0.00002184	0.00013233	0.00006648	0.00006133	0.00001683	0.00009332
40.00800000	0.00002186	0.00013231	0.00006654	0.00006163	0.00001679	0.00009356
40.00850000	0.00002189	0.00013228	0.00006648	0.00006188	0.00001677	0.00009359
40.00900000	0.00002191	0.00013225	0.00006627	0.00006193	0.00001675	0.00009359
40.00950000	0.00002190	0.00013228	0.00006586	0.00006192	0.00001672	0.00009360
40.01000000	0.00002186	0.00013226	0.00006509	0.00006192	0.00001667	0.00009360
40.01050000	0.00002175	0.00013227	0.00006413	0.00006216	0.00001661	0.00009360
40.01100000	0.00002161	0.00013228	0.00006360	0.00006317	0.00001660	0.00009360
40.01150000	0.00002147	0.00013273	0.00006360	0.00006518	0.00001661	0.00009361
40.01200000	0.00002137	0.00013403	0.00006380	0.00006810	0.00001667	0.00009363
40.01250000	0.00002130	0.00013579	0.00006397	0.00007129	0.00001676	0.00009369
40.01300000	0.00002130	0.00013745	0.00006401	0.00007356	0.00001688	0.00009402
40.01350000	0.00002136	0.00013829	0.00006401	0.00007435	0.00001697	0.00009444
40.01400000	0.00002142	0.00013834	0.00006399	0.00007434	0.00001696	0.00009459
40.01450000	0.00002145	0.00013874	0.00006391	0.00007505	0.00001691	0.00009464
40.01500000	0.00002145	0.00014016	0.00006372	0.00007629	0.00001686	0.00009481
40.01550000	0.00002143	0.00014169	0.00006340	0.00007730	0.00001686	0.00009501
40.01600000	0.00002147	0.00014369	0.00006297	0.00007799	0.00001698	0.00009502
40.01650000	0.00002156	0.00014748	0.00006254	0.00007858	0.00001715	0.00009505
40.01700000	0.00002160	0.00015218	0.00006223	0.00007954	0.00001727	0.00009517
40.01750000	0.00002162	0.00015531	0.00006214	0.00008104	0.00001733	0.00009537
40.01800000	0.00002165	0.00015672	0.00006217	0.00008230	0.00001737	0.00009564
40.01850000	0.00002167	0.00015716	0.00006213	0.00008317	0.00001737	0.00009598
40.01900000	0.00002165	0.00015713	0.00006196	0.00008412	0.00001733	0.00009623
40.01950000	0.00002163	0.00015719	0.00006170	0.00008511	0.00001728	0.00009629
40.02000000	0.00002163	0.00015738	0.00006142	0.00008589	0.00001722	0.00009628
40.02050000	0.00002162	0.00015773	0.00006116	0.00008664	0.00001718	0.00009638
40.02100000	0.00002160	0.00015852	0.00006102	0.00008762	0.00001714	0.00009666
40.02150000	0.00002158	0.00016002	0.00006099	0.00008870	0.00001715	0.00009712
40.02200000	0.00002154	0.00016209	0.00006098	0.00008936	0.00001720	0.00009779
40.02250000	0.00002151	0.00016465	0.00006097	0.00008949	0.00001728	0.00009853
40.02300000	0.00002150	0.00016742	0.00006102	0.00008943	0.00001738	0.00009901
40.02350000	0.00002148	0.00016897	0.00006113	0.00008933	0.00001749	0.00009902
40.02400000	0.00002146	0.00016907	0.00006126	0.00008920	0.00001755	0.00009966
40.02450000	0.00002144	0.00016923	0.00006134	0.00008913	0.00001760	0.00010300
40.02500000	0.00002141	0.00016947	0.00006142	0.00008923	0.00001760	0.00010747
40.02550000	0.00002138	0.00016945	0.00006149	0.00008950	0.00001760	0.00011005
40.02600000	0.00002135	0.00016954	0.00006139	0.00008997	0.00001762	0.00011070
40.02650000	0.00002134	0.00016957	0.00006123	0.00009070	0.00001766	0.00011078
40.02700000	0.00002133	0.00016974	0.00006122	0.00009173	0.00001764	0.00011091
40.02750000	0.00002132	0.00017048	0.00006152	0.00009358	0.00001754	0.00011158
