Toe y trajetcoriesendheader

time	leftToe	rightToe	leftCalf	rightCalf
39.99800000	67.83757885	22.37448754	183.09417245	52.26736783
40.00000000	66.34697311	22.43795435	179.78462255	52.69164919
40.00200000	64.92900387	22.43670227	176.37023888	53.30519042
40.00400000	64.10994300	22.54096803	173.00059373	53.74999103
40.00600000	62.76113735	22.50279221	169.59579199	54.12770084
40.00800000	61.42282963	22.61676128	165.79271170	54.63043729
40.01000000	59.90398187	22.63451199	162.27554817	55.22355507
40.01200000	58.97687642	22.66798795	158.66837047	55.67515920
40.01400000	57.50345338	23.37402232	155.64294268	56.09233926
40.01600000	56.32332441	23.33349745	152.02300756	56.83458003
40.01800000	55.14874419	23.50308355	148.49617527	57.58212176
40.02000000	54.05966586	23.50411916	144.88071163	58.25030659
40.02200000	53.05116345	23.59975207	141.33327964	58.90053546
40.02400000	52.03666128	23.67025983	137.84985846	59.61662718
40.02600000	51.11054204	23.70979871	133.82179149	60.36785894
40.02800000	50.26654607	23.83460551	130.39959626	61.05616672
40.03000000	49.47216496	23.87884645	126.79574239	61.81002617
40.03200000	48.80694434	23.97490398	123.52864495	62.55744631
40.03400000	47.96590776	24.03231410	120.04765729	63.32093032
40.03600000	47.43019381	24.12045621	116.72870738	64.11457410
40.03800000	47.08583313	24.19201686	113.33828931	64.93149060
40.04000000	46.73174066	24.24980608	110.11783155	65.70773871
40.04200000	46.55167022	24.37553925	106.90226102	66.53135517
40.04400000	46.46534871	24.41909609	103.83844634	67.35132823
40.04600000	46.48236750	24.50948203	100.74311955	68.16480458
40.04800000	46.61053310	24.57520563	97.78886098	69.08508790
40.05000000	46.91906605	24.69681884	94.93366207	69.96361779
40.05200000	47.20825193	24.81234535	92.13693639	70.84140218
40.05400000	47.60952155	24.88837191	89.51283573	71.80680767
40.05600000	48.17275692	25.03474419	86.05534361	72.73832706
40.05800000	48.74661809	24.95702203	84.02446196	73.71923670
40.06000000	49.48263547	25.09099841	82.00713793	74.75211113
40.06200000	50.27159277	25.28234461	79.78284700	75.72575681
40.06400000	51.13038891	25.35434474	77.72737824	76.79456135
