Filtered (MAV) muscles activityendheader

time	SOL_L	SOL_R	TA_L	TA_R	GL_L	GL_R
39.99949380	0.00004007	0.00009440	0.00001084	0.00004640	0.00001019	0.00004578
39.99999360	0.00003992	0.00009771	0.00001088	0.00004760	0.00001019	0.00004740
40.00049340	0.00003979	0.00010119	0.00001089	0.00004834	0.00001019	0.00004932
40.00099320	0.00003967	0.00010435	0.00001089	0.00004855	0.00001018	0.00005101
40.00149300	0.00003960	0.00010669	0.00001090	0.00004852	0.00001018	0.00005226
40.00199280	0.00003957	0.00010811	0.00001089	0.00004862	0.00001017	0.00005302
40.00249260	0.00003958	0.00010876	0.00001088	0.00004900	0.00001017	0.00005351
40.00299240	0.00003961	0.00010889	0.00001088	0.00004938	0.00001015	0.00005393
40.00349220	0.00003968	0.00010885	0.00001088	0.00004945	0.00001014	0.00005431
40.00399200	0.00003975	0.00010889	0.00001088	0.00004935	0.00001014	0.00005453
40.00449180	0.00003985	0.00010914	0.00001088	0.00004926	0.00001015	0.00005462
40.00499160	0.00003994	0.00010962	0.00001085	0.00004926	0.00001012	0.00005467
40.00549140	0.00004002	0.00011030	0.00001076	0.00004936	0.00001009	0.00005475
40.00599120	0.00004008	0.00011112	0.00001060	0.00004951	0.00001008	0.00005482
40.00649100	0.00004014	0.00011201	0.00001052	0.00004979	0.00001006	0.00005481
40.00699080	0.00004016	0.00011292	0.00001056	0.00005012	0.00001006	0.00005480
40.00749060	0.00004011	0.00011390	0.00001068	0.00005034	0.00001006	0.00005481
40.00799040	0.00003999	0.00011504	0.00001084	0.00005045	0.00001006	0.00005481
40.00849020	0.00003982	0.00011626	0.00001100	0.00005049	0.00001006	0.00005484
40.00899000	0.00003965	0.00011741	0.00001111	0.00005050	0.00001005	0.00005493
40.00948980	0.00003949	0.00011843	0.00001117	0.00005050	0.00001006	0.00005504
40.00998960	0.00003935	0.00011931	0.00001116	0.00005045	0.00001006	0.00005513
40.01048940	0.00003924	0.00012006	0.00001111	0.00005035	0.00001006	0.00005534
40.01098920	0.00003917	0.00012066	0.00001105	0.00005023	0.00001006	0.00005593
40.01148900	0.00003915	0.00012110	0.00001098	0.00005006	0.00001005	0.00005701
40.01198880	0.00003915	0.00012147	0.00001093	0.00004984	0.00001004	0.00005850
40.01248860	0.00003915	0.00012185	0.00001089	0.00004979	0.00001003	0.00006016
40.01298840	0.00003915	0.00012222	0.00001085	0.00004985	0.00001002	0.00006167
40.01348820	0.00003914	0.00012242	0.00001078	0.00004988	0.00001002	0.00006261
40.01398800	0.00003912	0.00012244	0.00001070	0.00004988	0.00001001	0.00006291
40.01448780	0.00003908	0.00012238	0.00001061	0.00004989	0.00001001	0.00006277
40.01498760	0.00003900	0.00012224	0.00001055	0.00004986	0.00001001	0.00006239
40.01548740	0.00003890	0.00012200	0.00001051	0.00004985	0.00001000	0.00006217
40.01598720	0.00003878	0.00012167	0.00001048	0.00004984	0.00000998	0.00006246
40.01648700	0.00003865	0.00012124	0.00001049	0.00004979	0.00000996	0.00006281
40.01698680	0.00003854	0.00012073	0.00001052	0.00004976	0.00000995	0.00006287
40.01748660	0.00003842	0.00012019	0.00001057	0.00004989	0.00000994	0.00006287
40.01798640	0.00003828	0.00011970	0.00001063	0.00005019	0.00000994	0.00006288
40.01848620	0.00003814	0.00011933	0.00001065	0.00005047	0.00000993	0.00006289
40.01898600	0.00003801	0.00011919	0.00001065	0.00005061	0.00000993	0.00006305
40.01948580	0.00003791	0.00011939	0.00001065	0.00005066	0.00000993	0.00006341
40.01998560	0.00003783	0.00011992	0.00001065	0.00005064	0.00000994	0.00006394
40.02048540	0.00003776	0.00012058	0.00001068	0.00005053	0.00000995	0.00006454
40.02098520	0.00003771	0.00012108	0.00001074	0.00005038	0.00000995	0.00006506
40.02148500	0.00003768	0.00012138	0.00001079	0.00005033	0.00000995	0.00006535
40.02198480	0.00003767	0.00012152	0.00001084	0.00005033	0.00000995	0.00006548
40.02248460	0.00003767	0.00012153	0.00001100	0.00005033	0.00000996	0.00006554
40.02298440	0.00003768	0.00012144	0.00001133	0.00005035	0.00000996	0.00006553
40.02348420	0.00003769	0.00012135	0.00001177	0.00005040	0.00000994	0.00006547
40.02398400	0.00003770	0.00012128	0.00001220	0.00005050	0.00000988	0.00006541
40.02448380	0.00003770	0.00012117	0.00001252	0.00005061	0.00000981	0.00006545
40.02498360	0.00003767	0.00012100	0.00001266	0.00005061	0.00000976	0.00006555
40.02548340	0.00003760	0.00012072	0.00001268	0.00005048	0.00000972	0.00006554
40.02598320	0.00003751	0.00012035	0.00001268	0.00005033	0.00000970	0.00006544
40.02648300	0.00003738	0.00011995	0.00001268	0.00005022	0.00000967	0.00006534
40.02698280	0.00003724	0.00011959	0.00001268	0.00005016	0.00000966	0.00006528
40.02748260	0.00003708	0.00011931	0.00001269	0.00005017	0.00000966	0.00006523
40.02798240	0.00003693	0.00011916	0.00001271	0.00005027	0.00000965	0.00006522
40.02848220	0.00003678	0.00011912	0.00001271	0.00005011	0.00000965	0.00006528
40.02898200	0.00003662	0.00011913	0.00001271	0.00004975	0.00000965	0.00006544
40.02948180	0.00003646	0.00011912	0.00001273	0.00004958	0.00000965	0.00006570
40.02998160	0.00003632	0.00011908	0.00001277	0.00004957	0.00000964	0.00006598
40.03048140	0.00003621	0.00011890	0.00001289	0.00004960	0.00000965	0.00006608
40.03098120	0.00003613	0.00011857	0.00001309	0.00004963	0.00000968	0.00006602
40.03148100	0.00003608	0.00011820	0.00001333	0.00004972	0.00000970	0.00006599
40.03198080	0.00003605	0.00011793	0.00001355	0.00004986	0.00000972	0.00006599
40.03248060	0.00003606	0.00011780	0.00001374	0.00005003	0.00000972	0.00006599
40.03298040	0.00003609	0.00011774	0.00001386	0.00005022	0.00000972	0.00006602
40.03348020	0.00003614	0.00011771	0.00001390	0.00005036	0.00000973	0.00006607
40.03398000	0.00003622	0.00011774	0.00001396	0.00005039	0.00000974	0.00006612
40.03447980	0.00003631	0.00011785	0.00001397	0.00005039	0.00000972	0.00006619
40.03497960	0.00003640	0.00011796	0.00001390	0.00005040	0.00000969	0.00006626
40.03547940	0.00003647	0.00011798	0.00001388	0.00005035	0.00000968	0.00006632
40.03597920	0.00003647	0.00011798	0.00001395	0.00005026	0.00000967	0.00006640
40.03647900	0.00003642	0.00011806	0.00001411	0.00005021	0.00000967	0.00006648
40.03697880	0.00003635	0.00011823	0.00001436	0.00005025	0.00000967	0.00006654
40.03747860	0.00003635	0.00011846	0.00001469	0.00005027	0.00000965	0.00006655
40.03797840	0.00003636	0.00011864	0.00001501	0.00005027	0.00000961	0.00006652
40.03847820	0.00003634	0.00011867	0.00001522	0.00005030	0.00000957	0.00006652
40.03897800	0.00003628	0.00011863	0.00001530	0.00005029	0.00000956	0.00006663
40.03947780	0.00003619	0.00011859	0.00001530	0.00005022	0.00000957	0.00006717
40.03997760	0.00003614	0.00011858	0.00001532	0.00005016	0.00000959	0.00006828
40.04047740	0.00003612	0.00011860	0.00001552	0.00005002	0.00000962	0.00006921
40.04097720	0.00003610	0.00011865	0.00001595	0.00004964	0.00000966	0.00006953
40.04147700	0.00003608	0.00011867	0.00001672	0.00004936	0.00000971	0.00006961
