Toe y trajetcoriesendheader

time	leftToe	rightToe	leftCalf	rightCalf
39.99800000	64.50193388	30.62080762	80.43702814	55.00938979
40.00000000	64.29682237	30.62968185	77.56883147	55.33974423
40.00200000	64.32755599	30.63086523	74.49638284	55.77610140
40.00400000	64.34134172	30.94003849	71.91925162	56.17225405
40.00600000	64.36556998	30.96705435	69.40745902	56.56368219
40.00800000	64.45655441	31.07761828	66.97676973	57.08811909
40.01000000	64.66431672	31.07735141	64.63911924	57.74659706
40.01200000	64.89760545	31.22842411	62.44725461	58.39668676
40.01400000	65.12599205	31.23937354	60.24623618	58.92488305
40.01600000	65.44073800	31.38928291	58.27411020	59.38794210
40.01800000	65.86846843	31.48104477	55.54853419	59.93974043
40.02000000	66.31618327	31.56210708	54.15178529	60.63468947
40.02200000	66.94057299	31.64688850	52.78523187	61.38503788
40.02400000	67.93638321	31.81217442	51.25233283	62.11866816
40.02600000	68.54548337	31.85940060	49.80573082	62.92495995
40.02800000	69.68023357	31.90745800	48.49141899	63.75286444
40.03000000	70.37719502	32.00980072	47.17962780	64.60469329
40.03200000	71.30782842	32.06622676	45.99635256	65.41000802
40.03400000	72.29671475	32.22178737	45.04164893	66.25043375
40.03600000	73.46039038	32.23956203	44.09116518	67.14080091
40.03800000	74.94513222	32.32630075	43.24659621	68.04635444
40.04000000	75.86423387	32.31035992	42.56993623	68.93680258
40.04200000	77.23780984	32.36583632	41.93638920	69.84151738
40.04400000	78.58444286	32.33192641	41.42972128	70.76520334
40.04600000	79.99636512	32.27571556	41.07260425	71.71495669
40.04800000	81.39428868	32.23804919	40.73466207	72.75527788
40.05000000	82.85009099	32.19823963	40.52455548	73.76681141
40.05200000	84.37723931	32.27179321	40.46802224	74.80647846
40.05400000	85.92986228	32.12844290	40.49466108	75.92673498
40.05600000	87.48229801	32.15310950	40.53724275	77.02435474
40.05800000	88.94522058	32.04580797	40.66502594	78.18740981
40.06000000	90.44287830	32.06207773	40.90387217	79.31032190
40.06200000	91.95727209	31.97771834	41.11843863	80.52941321
40.06400000	93.35648392	31.95148635	41.39373253	81.73156206
40.06600000	94.81595069	31.91129364	41.68163004	83.01388148
40.06800000	96.19774053	31.37118812	42.01214247	84.27311912
40.07000000	97.55524007	31.42340872	42.34126428	85.56670422
40.07200000	98.84592660	31.43952456	42.62359854	86.91482463
40.07400000	100.03112946	31.47987295	42.91304742	88.27507915
40.07600000	101.20090776	31.47636635	43.20381731	89.68406059
40.07800000	102.32304708	31.50736659	43.31853104	91.16545890
40.08000000	103.26500225	31.59253916	43.64689356	92.69937987
40.08200000	104.19294221	31.56149929	43.78382745	94.21404647
40.08400000	104.89511083	31.66816175	43.91404912	95.75279678
40.08600000	105.74116287	31.70791597	43.92059997	97.36809960
40.08800000	106.28941414	31.76516152	44.00072986	99.03456689
40.09000000	106.81315119	31.79536429	43.95367836	100.67815826
40.09200000	107.30479735	31.93396265	43.81657888	102.38899273
40.09400000	107.49221107	31.90828237	43.67932862	104.19547368
40.09600000	107.65660174	31.98251106	43.43219888	105.93032555
40.09800000	107.85794362	31.85905386	43.18374373	107.75646930
40.10000000	107.82552301	31.88868990	42.86133389	109.63443567
40.10200000	107.67863253	31.92427399	42.35889915	111.55531223
40.10400000	107.38276434	31.97123715	41.93873330	113.54864722
40.10600000	106.91531492	31.92445147	41.43043751	115.51717288
40.10800000	106.31662367	32.01074510	40.85784383	117.56941786
40.11000000	105.63527372	31.96903603	40.22150766	119.64986150
40.11200000	104.82473696	31.65805927	39.63015388	121.79123769
40.11400000	103.77660107	31.71947547	38.99606595	124.03035107
40.11600000	102.68882473	31.84927067	38.20852369	126.19781419
40.11800000	101.37864279	31.96929417	37.41583396	128.51129143
40.12000000	100.15456172	32.10182280	36.58808468	130.80654494
40.12200000	98.59956518	32.24759802	35.67437916	133.13421946
40.12400000	96.97788525	32.39745168	34.83540091	135.53950695
40.12600000	95.34026996	32.60517035	33.83790908	137.97099511
40.12800000	93.59957543	32.79164266	33.02740483	140.45653334
40.13000000	91.72914688	33.03029418	32.22527555	142.94897630
40.13200000	89.89897578	33.30272290	31.76791094	145.50096930
40.13400000	87.84456812	33.54695361	31.83986078	148.11236061
40.13600000	85.65446108	33.87183966	31.63265128	150.74738614
40.13800000	83.18164354	34.05914793	31.46267818	153.42191072
40.14000000	80.05331670	34.47672070	31.59967421	156.09915870
40.14200000	76.38092945	34.70695487	32.25301950	158.68974541
40.14400000	72.08773745	35.12995948	33.24109331	161.38478134
40.14600000	67.72666302	35.35992617	34.05977693	164.08695915
40.14800000	62.98968866	35.83888303	34.93597199	166.82964140
40.15000000	59.42176495	36.25377973	35.68851116	169.56766625
40.15200000	56.30123537	36.72232201	36.45230004	172.38014857
40.15400000	53.65896053	37.26139029	37.05683111	175.30760020
40.15600000	51.57325362	37.90353981	37.63697553	178.36447369
40.15800000	49.90970979	38.63546379	38.11302203	181.49580846
40.16000000	48.58459206	39.41239658	38.60304246	184.65242795
40.16200000	47.65507385	40.30379514	39.07323841	187.93511830
40.16400000	46.82029653	41.28092407	39.52122605	191.15772745
40.16600000	45.96945377	42.26458674	39.97230006	194.43534772
40.16800000	44.90159717	43.41973942	40.36370108	197.78231418
40.17000000	43.60182770	44.67020672	40.81777943	201.13029810
40.17200000	42.08518440	46.01036008	41.13837128	204.40117153
