UNKNOWN
version=1
nRows=5001
nColumns=6
inDegrees=no
endheader
time	Coordinates(Deg.)	soleus_l	soleus_r	tib_ant_l	tib_ant_r
      0.00000000	     39.99800000	      0.03586549	      0.04368783	      0.07915577	      0.06990238
      1.00000000	     40.00000000	      0.03599815	      0.04366992	      0.07899759	      0.06992354
      2.00000000	     40.00200000	      0.03612443	      0.04364818	      0.07884711	      0.06994923
      3.00000000	     40.00400000	      0.03624470	      0.04362276	      0.07870385	      0.06997926
      4.00000000	     40.00600000	      0.03635919	      0.04359388	      0.07856755	      0.07001338
      5.00000000	     40.00800000	      0.03646827	      0.04356169	      0.07843775	      0.07005141
      6.00000000	     40.01000000	      0.03657226	      0.04352634	      0.07831406	      0.07009317
      7.00000000	     40.01200000	      0.03667146	      0.04348803	      0.07819610	      0.07013842
      8.00000000	     40.01400000	      0.03676616	      0.04344695	      0.07808354	      0.07018694
      9.00000000	     40.01600000	      0.03685677	      0.04340320	      0.07797587	      0.07023863
     10.00000000	     40.01800000	      0.03694365	      0.04335692	      0.07787267	      0.07029329
     11.00000000	     40.02000000	      0.03702713	      0.04330824	      0.07777354	      0.07035079
     12.00000000	     40.02200000	      0.03710753	      0.04325731	      0.07767809	      0.07041094
     13.00000000	     40.02400000	      0.03718515	      0.04320427	      0.07758595	      0.07047358
     14.00000000	     40.02600000	      0.03726026	      0.04314916	      0.07749683	      0.07053866
     15.00000000	     40.02800000	      0.03733307	      0.04309209	      0.07741045	      0.07060605
     16.00000000	     40.03000000	      0.03740386	      0.04303322	      0.07732647	      0.07067557
     17.00000000	     40.03200000	      0.03747281	      0.04297255	      0.07724470	      0.07074721
     18.00000000	     40.03400000	      0.03754005	      0.04291015	      0.07716498	      0.07082089
     19.00000000	     40.03600000	      0.03760567	      0.04284609	      0.07708719	      0.07089652
     20.00000000	     40.03800000	      0.03766969	      0.04278042	      0.07701131	      0.07097405
     21.00000000	     40.04000000	      0.03773216	      0.04271316	      0.07693728	      0.07105345
     22.00000000	     40.04200000	      0.03779310	      0.04264435	      0.07686507	      0.07113469
     23.00000000	     40.04400000	      0.03785247	      0.04257398	      0.07679473	      0.07121776
     24.00000000	     40.04600000	      0.03791025	      0.04250206	      0.07672629	      0.07130266
     25.00000000	     40.04800000	      0.03796633	      0.04242857	      0.07665987	      0.07138940
     26.00000000	     40.05000000	      0.03802066	      0.04235351	      0.07659553	      0.07147800
     27.00000000	     40.05200000	      0.03807309	      0.04227687	      0.07653345	      0.07156847
     28.00000000	     40.05400000	      0.03812354	      0.04219861	      0.07647372	      0.07166084
     29.00000000	     40.05600000	      0.03817192	      0.04211867	      0.07641645	      0.07175518
     30.00000000	     40.05800000	      0.03821808	      0.04203704	      0.07636181	      0.07185152
     31.00000000	     40.06000000	      0.03826199	      0.04195374	      0.07630984	      0.07194983
     32.00000000	     40.06200000	      0.03830360	      0.04186875	      0.07626059	      0.07205013
     33.00000000	     40.06400000	      0.03834286	      0.04178203	      0.07621413	      0.07215247
     34.00000000	     40.06600000	      0.03837980	      0.04169356	      0.07617042	      0.07225688
     35.00000000	     40.06800000	      0.03841445	      0.04160331	      0.07612943	      0.07236338
     36.00000000	     40.07000000	      0.03844689	      0.04151127	      0.07609104	      0.07247200
     37.00000000	     40.07200000	      0.03847720	      0.04141739	      0.07605518	      0.07258278
     38.00000000	     40.07400000	      0.03850552	      0.04132173	      0.07602167	      0.07269567
     39.00000000	     40.07600000	      0.03853209	      0.04122425	      0.07599025	      0.07281069
     40.00000000	     40.07800000	      0.03855705	      0.04112498	      0.07596072	      0.07292785
     41.00000000	     40.08000000	      0.03858067	      0.04102390	      0.07593278	      0.07304713
     42.00000000	     40.08200000	      0.03860318	      0.04092099	      0.07590616	      0.07316858
     43.00000000	     40.08400000	      0.03862488	      0.04081619	      0.07588049	      0.07329225
     44.00000000	     40.08600000	      0.03864598	      0.04070948	      0.07585554	      0.07341819
     45.00000000	     40.08800000	      0.03866682	      0.04060081	      0.07583089	      0.07354645
     46.00000000	     40.09000000	      0.03868764	      0.04049009	      0.07580627	      0.07367713
     47.00000000	     40.09200000	      0.03870869	      0.04037723	      0.07578137	      0.07381035
     48.00000000	     40.09400000	      0.03873023	      0.04026208	      0.07575590	      0.07394627
     49.00000000	     40.09600000	      0.03875247	      0.04014449	      0.07572960	      0.07408510
     50.00000000	     40.09800000	      0.03877562	      0.04002424	      0.07570223	      0.07422706
     51.00000000	     40.10000000	      0.03879985	      0.03990110	      0.07567358	      0.07437245
     52.00000000	     40.10200000	      0.03882532	      0.03977480	      0.07564347	      0.07452160
     53.00000000	     40.10400000	      0.03885212	      0.03964501	      0.07561179	      0.07467488
     54.00000000	     40.10600000	      0.03888032	      0.03951138	      0.07557844	      0.07483271
     55.00000000	     40.10800000	      0.03890996	      0.03937353	      0.07554340	      0.07499556
     56.00000000	     40.11000000	      0.03894102	      0.03923102	      0.07550668	      0.07516394
     57.00000000	     40.11200000	      0.03897344	      0.03908340	      0.07546836	      0.07533839
     58.00000000	     40.11400000	      0.03900712	      0.03893017	      0.07542855	      0.07551951
     59.00000000	     40.11600000	      0.03904189	      0.03877081	      0.07538746	      0.07570792
     60.00000000	     40.11800000	      0.03907751	      0.03860480	      0.07534536	      0.07590425
     61.00000000	     40.12000000	      0.03911368	      0.03843157	      0.07530261	      0.07610917
     62.00000000	     40.12200000	      0.03915004	      0.03825059	      0.07525964	      0.07632333
     63.00000000	     40.12400000	      0.03918613	      0.03806129	      0.07521699	      0.07654742
     64.00000000	     40.12600000	      0.03922143	      0.03786317	      0.07517528	      0.07678206
     65.00000000	     40.12800000	      0.03925533	      0.03765573	      0.07513522	      0.07702786
     66.00000000	     40.13000000	      0.03928711	      0.03743851	      0.07509766	      0.07728538
     67.00000000	     40.13200000	      0.03931600	      0.03721113	      0.07506353	      0.07755512
     68.00000000	     40.13400000	      0.03934113	      0.03697326	      0.07503384	      0.07783750
     69.00000000	     40.13600000	      0.03936154	      0.03672467	      0.07500973	      0.07813284
     70.00000000	     40.13800000	      0.03937621	      0.03646524	      0.07499239	      0.07844135
     71.00000000	     40.14000000	      0.03938410	      0.03619494	      0.07498308	      0.07876311
     72.00000000	     40.14200000	      0.03938407	      0.03591391	      0.07498311	      0.07909802
     73.00000000	     40.14400000	      0.03937504	      0.03562239	      0.07499378	      0.07944589
     74.00000000	     40.14600000	      0.03935587	      0.03532081	      0.07501643	      0.07980630
     75.00000000	     40.14800000	      0.03932549	      0.03500971	      0.07505232	      0.08017869
     76.00000000	     40.15000000	      0.03928291	      0.03468982	      0.07510263	      0.08056231
     77.00000000	     40.15200000	      0.03922720	      0.03436202	      0.07516845	      0.08095621
     78.00000000	     40.15400000	      0.03915759	      0.03402737	      0.07525071	      0.08135929
     79.00000000	     40.15600000	      0.03907346	      0.03368704	      0.07535014	      0.08177025
     80.00000000	     40.15800000	      0.03897439	      0.03334237	      0.07546723	      0.08218763
     81.00000000	     40.16000000	      0.03886019	      0.03299482	      0.07560224	      0.08260979
     82.00000000	     40.16200000	      0.03873091	      0.03264596	      0.07575509	      0.08303501
     83.00000000	     40.16400000	      0.03858687	      0.03229745	      0.07592545	      0.08346136
     84.00000000	     40.16600000	      0.03842866	      0.03195104	      0.07611260	      0.08388686
     85.00000000	     40.16800000	      0.03825719	      0.03160850	      0.07631552	      0.08430943
     86.00000000	     40.17000000	      0.03807364	      0.03127168	      0.07653280	      0.08472689
     87.00000000	     40.17200000	      0.03787948	      0.03094231	      0.07676275	      0.08513714
     88.00000000	     40.17400000	      0.03767643	      0.03062212	      0.07700332	      0.08553804
     89.00000000	     40.17600000	      0.03746649	      0.03031275	      0.07725221	      0.08592751
     90.00000000	     40.17800000	      0.03725179	      0.03001592	      0.07750687	      0.08630331
     91.00000000	     40.18000000	      0.03703465	      0.02973298	      0.07776461	      0.08666363
     92.00000000	     40.18200000	      0.03681744	      0.02946536	      0.07802260	      0.08700647
     93.00000000	     40.18400000	      0.03660270	      0.02921424	      0.07827786	      0.08733009
     94.00000000	     40.18600000	      0.03639292	      0.02898070	      0.07852740	      0.08763285
     95.00000000	     40.18800000	      0.03619052	      0.02876564	      0.07876837	      0.08791329
     96.00000000	     40.19000000	      0.03599777	      0.02856977	      0.07899804	      0.08817014
     97.00000000	     40.19200000	      0.03581669	      0.02839368	      0.07921398	      0.08840231
     98.00000000	     40.19400000	      0.03564919	      0.02823769	      0.07941389	      0.08860900
     99.00000000	     40.19600000	      0.03549696	      0.02810202	      0.07959571	      0.08878959
    100.00000000	     40.19800000	      0.03536135	      0.02798675	      0.07975781	      0.08894365
    101.00000000	     40.20000000	      0.03524357	      0.02789179	      0.07989869	      0.08907102
    102.00000000	     40.20200000	      0.03514452	      0.02781692	      0.08001723	      0.08917173
    103.00000000	     40.20400000	      0.03506485	      0.02776182	      0.08011263	      0.08924603
    104.00000000	     40.20600000	      0.03500494	      0.02772602	      0.08018440	      0.08929438
    105.00000000	     40.20800000	      0.03496490	      0.02770898	      0.08023238	      0.08931741
    106.00000000	     40.21000000	      0.03494454	      0.02771011	      0.08025678	      0.08931589
    107.00000000	     40.21200000	      0.03494347	      0.02772870	      0.08025806	      0.08929075
    108.00000000	     40.21400000	      0.03496102	      0.02776406	      0.08023702	      0.08924301
    109.00000000	     40.21600000	      0.03499641	      0.02781538	      0.08019462	      0.08917381
    110.00000000	     40.21800000	      0.03504852	      0.02788190	      0.08013219	      0.08908430
    111.00000000	     40.22000000	      0.03511627	      0.02796283	      0.08005105	      0.08897570
    112.00000000	     40.22200000	      0.03519835	      0.02805737	      0.07995280	      0.08884920
    113.00000000	     40.22400000	      0.03529342	      0.02816474	      0.07983905	      0.08870600
    114.00000000	     40.22600000	      0.03540008	      0.02828418	      0.07971151	      0.08854729
    115.00000000	     40.22800000	      0.03551695	      0.02841494	      0.07957183	      0.08837420
    116.00000000	     40.23000000	      0.03564266	      0.02855634	      0.07942169	      0.08818780
    117.00000000	     40.23200000	      0.03577586	      0.02870774	      0.07926270	      0.08798907
    118.00000000	     40.23400000	      0.03591530	      0.02886855	      0.07909636	      0.08777890
    119.00000000	     40.23600000	      0.03605981	      0.02903822	      0.07892409	      0.08755812
    120.00000000	     40.23800000	      0.03620831	      0.02921629	      0.07874719	      0.08732745
    121.00000000	     40.24000000	      0.03635980	      0.02940234	      0.07856682	      0.08708751
    122.00000000	     40.24200000	      0.03651342	      0.02959602	      0.07838404	      0.08683883
    123.00000000	     40.24400000	      0.03666840	      0.02979703	      0.07819973	      0.08658188
    124.00000000	     40.24600000	      0.03682409	      0.03000511	      0.07801470	      0.08631705
    125.00000000	     40.24800000	      0.03697993	      0.03022004	      0.07782959	      0.08604465
    126.00000000	     40.25000000	      0.03713545	      0.03044167	      0.07764494	      0.08576494
    127.00000000	     40.25200000	      0.03729032	      0.03066985	      0.07746116	      0.08547814
    128.00000000	     40.25400000	      0.03744425	      0.03090444	      0.07727857	      0.08518444
    129.00000000	     40.25600000	      0.03759707	      0.03114531	      0.07709739	      0.08488405
    130.00000000	     40.25800000	      0.03774864	      0.03139233	      0.07691775	      0.08457713
    131.00000000	     40.26000000	      0.03789890	      0.03164537	      0.07673973	      0.08426387
    132.00000000	     40.26200000	      0.03804785	      0.03190423	      0.07656334	      0.08394450
    133.00000000	     40.26400000	      0.03819549	      0.03216875	      0.07638855	      0.08361924
    134.00000000	     40.26600000	      0.03834183	      0.03243869	      0.07621535	      0.08328837
    135.00000000	     40.26800000	      0.03848693	      0.03271380	      0.07604367	      0.08295220
    136.00000000	     40.27000000	      0.03863080	      0.03299372	      0.07587349	      0.08261113
    137.00000000	     40.27200000	      0.03877354	      0.03327811	      0.07570469	      0.08226558
    138.00000000	     40.27400000	      0.03891513	      0.03356657	      0.07553729	      0.08191600
    139.00000000	     40.27600000	      0.03905558	      0.03385857	      0.07537128	      0.08156298
    140.00000000	     40.27800000	      0.03919485	      0.03415363	      0.07520669	      0.08120710
    141.00000000	     40.28000000	      0.03933288	      0.03445110	      0.07504359	      0.08084909
    142.00000000	     40.28200000	      0.03946959	      0.03475035	      0.07488208	      0.08048965
    143.00000000	     40.28400000	      0.03960486	      0.03505064	      0.07472231	      0.08012965
    144.00000000	     40.28600000	      0.03973853	      0.03535120	      0.07456443	      0.07976996
    145.00000000	     40.28800000	      0.03987042	      0.03565121	      0.07440868	      0.07941148
    146.00000000	     40.29000000	      0.04000037	      0.03594968	      0.07425524	      0.07905538
    147.00000000	     40.29200000	      0.04012808	      0.03624608	      0.07410446	      0.07870221
    148.00000000	     40.29400000	      0.04025337	      0.03653938	      0.07395656	      0.07835315
    149.00000000	     40.29600000	      0.04037600	      0.03682859	      0.07381180	      0.07800935
    150.00000000	     40.29800000	      0.04049571	      0.03711283	      0.07367050	      0.07767180
    151.00000000	     40.30000000	      0.04061223	      0.03739122	      0.07353297	      0.07734147
    152.00000000	     40.30200000	      0.04072532	      0.03766286	      0.07339950	      0.07701941
    153.00000000	     40.30400000	      0.04083474	      0.03792693	      0.07327036	      0.07670654
    154.00000000	     40.30600000	      0.04094024	      0.03818272	      0.07314586	      0.07640367
    155.00000000	     40.30800000	      0.04104155	      0.03842956	      0.07302630	      0.07611154
    156.00000000	     40.31000000	      0.04113849	      0.03866689	      0.07291190	      0.07583081
    157.00000000	     40.31200000	      0.04123085	      0.03889424	      0.07280290	      0.07556199
    158.00000000	     40.31400000	      0.04131847	      0.03911126	      0.07269951	      0.07530547
    159.00000000	     40.31600000	      0.04140113	      0.03931780	      0.07260197	      0.07506140
    160.00000000	     40.31800000	      0.04147871	      0.03951342	      0.07251041	      0.07483031
    161.00000000	     40.32000000	      0.04155105	      0.03969810	      0.07242505	      0.07461218
    162.00000000	     40.32200000	      0.04161798	      0.03987215	      0.07234607	      0.07440664
    163.00000000	     40.32400000	      0.04167937	      0.04003581	      0.07227362	      0.07421340
    164.00000000	     40.32600000	      0.04173512	      0.04018934	      0.07220783	      0.07403214
    165.00000000	     40.32800000	      0.04178515	      0.04033319	      0.07214879	      0.07386233
    166.00000000	     40.33000000	      0.04182933	      0.04046790	      0.07209665	      0.07370333
    167.00000000	     40.33200000	      0.04186760	      0.04059397	      0.07205149	      0.07355453
    168.00000000	     40.33400000	      0.04189990	      0.04071201	      0.07201337	      0.07341521
    169.00000000	     40.33600000	      0.04192622	      0.04082263	      0.07198231	      0.07328465
    170.00000000	     40.33800000	      0.04194645	      0.04092673	      0.07195844	      0.07316180
    171.00000000	     40.34000000	      0.04196070	      0.04102484	      0.07194162	      0.07304602
    172.00000000	     40.34200000	      0.04196887	      0.04111764	      0.07193197	      0.07293651
    173.00000000	     40.34400000	      0.04197101	      0.04120580	      0.07192945	      0.07283247
    174.00000000	     40.34600000	      0.04196713	      0.04128996	      0.07193402	      0.07273315
    175.00000000	     40.34800000	      0.04195735	      0.04137059	      0.07194557	      0.07263800
    176.00000000	     40.35000000	      0.04194164	      0.04144833	      0.07196411	      0.07254626
    177.00000000	     40.35200000	      0.04192011	      0.04152353	      0.07198951	      0.07245753
    178.00000000	     40.35400000	      0.04189290	      0.04159645	      0.07202163	      0.07237147
    179.00000000	     40.35600000	      0.04186008	      0.04166735	      0.07206036	      0.07228781
    180.00000000	     40.35800000	      0.04182186	      0.04173629	      0.07210547	      0.07220645
    181.00000000	     40.36000000	      0.04177831	      0.04180335	      0.07215686	      0.07212731
    182.00000000	     40.36200000	      0.04172960	      0.04186843	      0.07221434	      0.07205051
    183.00000000	     40.36400000	      0.04167600	      0.04193124	      0.07227759	      0.07197638
    184.00000000	     40.36600000	      0.04161773	      0.04199157	      0.07234636	      0.07190519
    185.00000000	     40.36800000	      0.04155493	      0.04204908	      0.07242047	      0.07183731
    186.00000000	     40.37000000	      0.04148780	      0.04210337	      0.07249969	      0.07177324
    187.00000000	     40.37200000	      0.04141662	      0.04215388	      0.07258369	      0.07171363
    188.00000000	     40.37400000	      0.04134153	      0.04220020	      0.07267230	      0.07165896
    189.00000000	     40.37600000	      0.04126282	      0.04224172	      0.07276518	      0.07160995
    190.00000000	     40.37800000	      0.04118071	      0.04227794	      0.07286208	      0.07156720
    191.00000000	     40.38000000	      0.04109541	      0.04230837	      0.07296274	      0.07153128
    192.00000000	     40.38200000	      0.04100715	      0.04233251	      0.07306689	      0.07150279
    193.00000000	     40.38400000	      0.04091609	      0.04234989	      0.07317436	      0.07148228
