UNKNOWN
version=1
nRows=100
nColumns=5
inDegrees=no
endheader
time	ankle_angle_l	med_gas_l	soleus_l	tib_ant_l
      0.00000000	    -90.00000018	      0.03128786	      0.02123737	      0.11794882
      1.00000000	    -88.18181836	      0.03140233	      0.02123737	      0.11761879
      2.00000000	    -86.36363654	      0.03154394	      0.02123737	      0.11726199
      3.00000000	    -84.54545472	      0.03171339	      0.02123737	      0.11687852
      4.00000000	    -82.72727290	      0.03191148	      0.02123737	      0.11646852
      5.00000000	    -80.90909107	      0.03213909	      0.02123737	      0.11603212
      6.00000000	    -79.09090925	      0.03239714	      0.02123737	      0.11556947
      7.00000000	    -77.27272743	      0.03268663	      0.02123737	      0.11508073
      8.00000000	    -75.45454561	      0.03300851	      0.02123737	      0.11456608
      9.00000000	    -73.63636379	      0.03336379	      0.02123737	      0.11402570
     10.00000000	    -71.81818196	      0.03375340	      0.02123737	      0.11345980
     11.00000000	    -70.00000014	      0.03417823	      0.02123737	      0.11286859
     12.00000000	    -68.18181832	      0.03463912	      0.02123737	      0.11225230
     13.00000000	    -66.36363650	      0.03513679	      0.02123737	      0.11161117
     14.00000000	    -64.54545468	      0.03567186	      0.02123737	      0.11094546
     15.00000000	    -62.72727286	      0.03624454	      0.02123737	      0.11025543
     16.00000000	    -60.90909103	      0.03685393	      0.02123737	      0.10954139
     17.00000000	    -59.09090921	      0.03749993	      0.02123737	      0.10880361
     18.00000000	    -57.27272739	      0.03818242	      0.02123737	      0.10804243
     19.00000000	    -55.45454557	      0.03890111	      0.02123737	      0.10725816
     20.00000000	    -53.63636375	      0.03965561	      0.02123737	      0.10645115
     21.00000000	    -51.81818192	      0.04044537	      0.02123737	      0.10562176
     22.00000000	    -50.00000010	      0.04126973	      0.02123737	      0.10477034
     23.00000000	    -48.18181828	      0.04212790	      0.02123737	      0.10389730
     24.00000000	    -46.36363646	      0.04301899	      0.02123737	      0.10300301
     25.00000000	    -44.54545464	      0.04394201	      0.02126380	      0.10208789
     26.00000000	    -42.72727281	      0.04489588	      0.02139100	      0.10115235
     27.00000000	    -40.90909099	      0.04587945	      0.02157697	      0.10019682
     28.00000000	    -39.09090917	      0.04689150	      0.02182858	      0.09922176
     29.00000000	    -37.27272735	      0.04793076	      0.02215045	      0.09822759
     30.00000000	    -35.45454553	      0.04899592	      0.02254515	      0.09721067
     31.00000000	    -33.63636370	      0.05008562	      0.02301347	      0.09617463
     32.00000000	    -31.81818188	      0.05119849	      0.02355464	      0.09512119
     33.00000000	    -30.00000006	      0.05233312	      0.02416663	      0.09405085
     34.00000000	    -28.18181824	      0.05348812	      0.02484640	      0.09296408
     35.00000000	    -26.36363642	      0.05466206	      0.02558880	      0.09186138
     36.00000000	    -24.54545460	      0.05585352	      0.02638393	      0.09074327
     37.00000000	    -22.72727277	      0.05706110	      0.02722654	      0.08961024
     38.00000000	    -20.90909095	      0.05828337	      0.02811203	      0.08846283
     39.00000000	    -19.09090913	      0.05951894	      0.02903599	      0.08730157
     40.00000000	    -17.27272731	      0.06076642	      0.02999427	      0.08612698
     41.00000000	    -15.45454549	      0.06202443	      0.03098299	      0.08493962
     42.00000000	    -13.63636366	      0.06329158	      0.03199854	      0.08374004
     43.00000000	    -11.81818184	      0.06456653	      0.03303763	      0.08252881
     44.00000000	    -10.00000002	      0.06584792	      0.03409721	      0.08130652
     45.00000000	     -8.18181820	      0.06713442	      0.03517451	      0.08007375
     46.00000000	     -6.36363638	      0.06842469	      0.03626700	      0.07883112
     47.00000000	     -4.54545455	      0.06971741	      0.03737234	      0.07757925
     48.00000000	     -2.72727273	      0.07101128	      0.03848839	      0.07631879
     49.00000000	     -0.90909091	      0.07230497	      0.03961317	      0.07505040
     50.00000000	      0.90909091	      0.07359719	      0.04074482	      0.07377479
     51.00000000	      2.72727273	      0.07488662	      0.04188158	      0.07249267
