UNKNOWN
version=1
nRows=100
nColumns=5
inDegrees=no
endheader
time	ankle_angle_l	med_gas_l	soleus_l	tib_ant_l
      0.00000000	    -59.99999993	      0.02979946	      0.02123737	      0.10917545
      1.00000000	    -58.78787872	      0.03008189	      0.02123737	      0.10867837
      2.00000000	    -57.57575751	      0.03038211	      0.02123737	      0.10817090
      3.00000000	    -56.36363630	      0.03070047	      0.02123737	      0.10765316
      4.00000000	    -55.15151509	      0.03103729	      0.02123737	      0.10712523
      5.00000000	    -53.93939388	      0.03139283	      0.02123737	      0.10658722
      6.00000000	    -52.72727267	      0.03176727	      0.02123737	      0.10603923
      7.00000000	    -51.51515146	      0.03216077	      0.02123737	      0.10548137
      8.00000000	    -50.30303025	      0.03257340	      0.02123737	      0.10491376
      9.00000000	    -49.09090903	      0.03300518	      0.02123737	      0.10433650
     10.00000000	    -47.87878782	      0.03345610	      0.02123737	      0.10374971
     11.00000000	    -46.66666661	      0.03392605	      0.02123737	      0.10315351
     12.00000000	    -45.45454540	      0.03441490	      0.02123737	      0.10254802
     13.00000000	    -44.24242419	      0.03492246	      0.02128128	      0.10193337
     14.00000000	    -43.03030298	      0.03544848	      0.02136594	      0.10130967
     15.00000000	    -41.81818177	      0.03599267	      0.02147615	      0.10067706
     16.00000000	    -40.60606056	      0.03655375	      0.02161419	      0.10003566
     17.00000000	    -39.39393935	      0.03713083	      0.02178186	      0.09938561
     18.00000000	    -38.18181814	      0.03772349	      0.02198053	      0.09872703
     19.00000000	    -36.96969693	      0.03833125	      0.02221113	      0.09806008
     20.00000000	    -35.75757572	      0.03895363	      0.02247426	      0.09738162
     21.00000000	    -34.54545451	      0.03959013	      0.02277013	      0.09669485
     22.00000000	    -33.33333330	      0.04024023	      0.02309865	      0.09600025
     23.00000000	    -32.12121208	      0.04090340	      0.02345946	      0.09529795
     24.00000000	    -30.90909087	      0.04157911	      0.02385195	      0.09458810
     25.00000000	    -29.69696966	      0.04226680	      0.02427531	      0.09387085
     26.00000000	    -28.48484845	      0.04296593	      0.02472855	      0.09314632
     27.00000000	    -27.27272724	      0.04367594	      0.02521050	      0.09241469
     28.00000000	    -26.06060603	      0.04439627	      0.02571782	      0.09167609
     29.00000000	    -24.84848482	      0.04512637	      0.02624799	      0.09093067
     30.00000000	    -23.63636361	      0.04586569	      0.02679960	      0.09017858
     31.00000000	    -22.42424240	      0.04661367	      0.02737127	      0.08941999
     32.00000000	    -21.21212119	      0.04736977	      0.02796166	      0.08865504
     33.00000000	    -19.99999998	      0.04813344	      0.02856947	      0.08788390
     34.00000000	    -18.78787877	      0.04890414	      0.02919343	      0.08710671
     35.00000000	    -17.57575756	      0.04968135	      0.02983235	      0.08632364
     36.00000000	    -16.36363634	      0.05046454	      0.03048506	      0.08553486
     37.00000000	    -15.15151513	      0.05125319	      0.03115048	      0.08474052
     38.00000000	    -13.93939392	      0.05204680	      0.03182756	      0.08394079
     39.00000000	    -12.72727271	      0.05284485	      0.03251534	      0.08313585
     40.00000000	    -11.51515150	      0.05364685	      0.03321288	      0.08232585
     41.00000000	    -10.30303029	      0.05445232	      0.03391931	      0.08151098
     42.00000000	     -9.09090908	      0.05526077	      0.03463381	      0.08069141
     43.00000000	     -7.87878787	      0.05607174	      0.03535560	      0.07986732
     44.00000000	     -6.66666666	      0.05688475	      0.03608396	      0.07903888
     45.00000000	     -5.45454545	      0.05769935	      0.03681820	      0.07820630
     46.00000000	     -4.24242424	      0.05851509	      0.03755766	      0.07736975
     47.00000000	     -3.03030303	      0.05933152	      0.03830172	      0.07652943
     48.00000000	     -1.81818182	      0.06014820	      0.03904981	      0.07568554
     49.00000000	     -0.60606061	      0.06096470	      0.03980135	      0.07483828
     50.00000000	      0.60606061	      0.06178060	      0.04055581	      0.07398786
     51.00000000	      1.81818182	      0.06259548	      0.04131266	      0.07313449
     52.00000000	      3.03030303	      0.06340892	      0.04207142	      0.07227840
