UNKNOWN
version=1
nRows=5001
nColumns=5
inDegrees=no
endheader
time	Coordinates(Deg.)	med_gas_l	soleus_l	tib_ant_l
      0.00000000	     39.99800000	      0.07029029	      0.03566604	      0.07939377
      1.00000000	     40.00000000	      0.07034888	      0.03572996	      0.07931747
      2.00000000	     40.00200000	      0.07041069	      0.03579439	      0.07924059
      3.00000000	     40.00400000	      0.07047568	      0.03585931	      0.07916315
      4.00000000	     40.00600000	      0.07054375	      0.03592471	      0.07908514
      5.00000000	     40.00800000	      0.07061478	      0.03599059	      0.07900661
      6.00000000	     40.01000000	      0.07068871	      0.03605694	      0.07892752
      7.00000000	     40.01200000	      0.07076542	      0.03612376	      0.07884790
      8.00000000	     40.01400000	      0.07084480	      0.03619106	      0.07876773
      9.00000000	     40.01600000	      0.07092668	      0.03625883	      0.07868703
     10.00000000	     40.01800000	      0.07101092	      0.03632707	      0.07860578
     11.00000000	     40.02000000	      0.07109736	      0.03639577	      0.07852401
     12.00000000	     40.02200000	      0.07118585	      0.03646494	      0.07844170
     13.00000000	     40.02400000	      0.07127620	      0.03653456	      0.07835889
     14.00000000	     40.02600000	      0.07136825	      0.03660462	      0.07827557
     15.00000000	     40.02800000	      0.07146175	      0.03667508	      0.07819180
     16.00000000	     40.03000000	      0.07155659	      0.03674593	      0.07810758
     17.00000000	     40.03200000	      0.07165255	      0.03681715	      0.07802295
     18.00000000	     40.03400000	      0.07174949	      0.03688869	      0.07793796
     19.00000000	     40.03600000	      0.07184716	      0.03696050	      0.07785266
     20.00000000	     40.03800000	      0.07194532	      0.03703251	      0.07776714
     21.00000000	     40.04000000	      0.07204377	      0.03710468	      0.07768146
     22.00000000	     40.04200000	      0.07214238	      0.03717695	      0.07759569
     23.00000000	     40.04400000	      0.07224105	      0.03724925	      0.07750989
     24.00000000	     40.04600000	      0.07233948	      0.03732148	      0.07742419
     25.00000000	     40.04800000	      0.07243751	      0.03739358	      0.07733867
     26.00000000	     40.05000000	      0.07253501	      0.03746546	      0.07725342
     27.00000000	     40.05200000	      0.07263196	      0.03753707	      0.07716852
     28.00000000	     40.05400000	      0.07272807	      0.03760827	      0.07708411
     29.00000000	     40.05600000	      0.07282322	      0.03767899	      0.07700029
     30.00000000	     40.05800000	      0.07291735	      0.03774915	      0.07691715
     31.00000000	     40.06000000	      0.07301032	      0.03781864	      0.07683481
     32.00000000	     40.06200000	      0.07310213	      0.03788741	      0.07675335
     33.00000000	     40.06400000	      0.07319273	      0.03795537	      0.07667285
     34.00000000	     40.06600000	      0.07328205	      0.03802245	      0.07659342
     35.00000000	     40.06800000	      0.07337013	      0.03808858	      0.07651512
     36.00000000	     40.07000000	      0.07345701	      0.03815371	      0.07643801
     37.00000000	     40.07200000	      0.07354272	      0.03821779	      0.07636215
     38.00000000	     40.07400000	      0.07362729	      0.03828079	      0.07628759
     39.00000000	     40.07600000	      0.07371077	      0.03834265	      0.07621438
     40.00000000	     40.07800000	      0.07379328	      0.03840337	      0.07614253
     41.00000000	     40.08000000	      0.07387485	      0.03846293	      0.07607207
