UNKNOWN
version=1
nRows=6001
nColumns=4
inDegrees=no
endheader
time	Coordinates(Deg.)	soleus_r	tib_ant_r
      0.00000000	      0.00000000	      0.03925122	      0.07514008
      1.00000000	      0.02000000	      0.04223651	      0.07161610
      2.00000000	      0.04000000	      0.04519095	      0.06812487
      3.00000000	      0.06000000	      0.04802920	      0.06475627
      4.00000000	      0.08000000	      0.05067450	      0.06159726
      5.00000000	      0.10000000	      0.05303103	      0.05872688
      6.00000000	      0.12000000	      0.05506803	      0.05621181
      7.00000000	      0.14000000	      0.05675185	      0.05410324
      8.00000000	      0.16000000	      0.05806573	      0.05243582
      9.00000000	      0.18000000	      0.05900582	      0.05122926
     10.00000000	      0.20000000	      0.05957550	      0.05049217
     11.00000000	      0.22000000	      0.05977963	      0.05022689
     12.00000000	      0.24000000	      0.05962054	      0.05043368
     13.00000000	      0.26000000	      0.05909640	      0.05111238
     14.00000000	      0.28000000	      0.05820246	      0.05226106
     15.00000000	      0.30000000	      0.05693489	      0.05387219
     16.00000000	      0.32000000	      0.05529631	      0.05592765
     17.00000000	      0.34000000	      0.05330160	      0.05839480
     18.00000000	      0.36000000	      0.05098222	      0.06122449
     19.00000000	      0.38000000	      0.04836882	      0.06435182
     20.00000000	      0.40000000	      0.04555056	      0.06769905
     21.00000000	      0.42000000	      0.04260601	      0.07117995
     22.00000000	      0.44000000	      0.03961973	      0.07470473
     23.00000000	      0.46000000	      0.03668088	      0.07818490
     24.00000000	      0.48000000	      0.03387957	      0.08153763
     25.00000000	      0.50000000	      0.03130200	      0.08468924
     26.00000000	      0.52000000	      0.02902315	      0.08757768
     27.00000000	      0.54000000	      0.02709766	      0.09015379
     28.00000000	      0.56000000	      0.02555126	      0.09238126
     29.00000000	      0.58000000	      0.02437718	      0.09423558
     30.00000000	      0.60000000	      0.02354269	      0.09570200
     31.00000000	      0.62000000	      0.02300351	      0.09677299
     32.00000000	      0.64000000	      0.02269842	      0.09744562
     33.00000000	      0.66000000	      0.02258200	      0.09771926
     34.00000000	      0.68000000	      0.02263476	      0.09759392
     35.00000000	      0.70000000	      0.02286571	      0.09706957
     36.00000000	      0.72000000	      0.02331119	      0.09614647
     37.00000000	      0.74000000	      0.02402935	      0.09482645
     38.00000000	      0.76000000	      0.02507274	      0.09311502
     39.00000000	      0.78000000	      0.02647829	      0.09102395
     40.00000000	      0.80000000	      0.02826415	      0.08857386
     41.00000000	      0.82000000	      0.03041665	      0.08579646
     42.00000000	      0.84000000	      0.03289107	      0.08273609
     43.00000000	      0.86000000	      0.03561888	      0.07945009
     44.00000000	      0.88000000	      0.03851705	      0.07600804
     45.00000000	      0.90000000	      0.04149624	      0.07248973
     46.00000000	      0.92000000	      0.04446650	      0.06898200
     47.00000000	      0.94000000	      0.04734114	      0.06557471
     48.00000000	      0.96000000	      0.05004678	      0.06235601
     49.00000000	      0.98000000	      0.05247519	      0.05940735
     50.00000000	      1.00000000	      0.05459521	      0.05679884
     51.00000000	      1.02000000	      0.05636871	      0.05458568
     52.00000000	      1.04000000	      0.05777502	      0.05280658
     53.00000000	      1.06000000	      0.05880759	      0.05148467
     54.00000000	      1.08000000	      0.05946857	      0.05063087
     55.00000000	      1.10000000	      0.05976292	      0.05024863
     56.00000000	      1.12000000	      0.05969384	      0.05033845
     57.00000000	      1.14000000	      0.05926053	      0.05090027
     58.00000000	      1.16000000	      0.05845870	      0.05193290
     59.00000000	      1.18000000	      0.05728382	      0.05343064
     60.00000000	      1.20000000	      0.05573635	      0.05537843
