EVENTS 
Subject,Context,Name,Time (s),Description 
H_JBM,Left,Foot Strike, 9.96,Foot Strike,
H_JBM,Left,Foot Strike,11.14,Foot Strike,
H_JBM,Left,Foot Strike,12.29,Foot Strike,
H_JBM,Left,Foot Strike,13.47,Foot Strike,
H_JBM,Left,Foot Strike,14.62,Foot Strike,
H_JBM,Left,Foot Strike,15.79,Foot Strike,
H_JBM,Left,Foot Strike,16.95,Foot Strike,
H_JBM,Left,Foot Strike,18.12,Foot Strike,
H_JBM,Left,Foot Strike,19.26,Foot Strike,
H_JBM,Left,Foot Strike,20.44,Foot Strike,
H_JBM,Left,Event,10.67,Event,
H_JBM,Left,Event,11.83,Event,
H_JBM,Left,Event,   13,Event,
H_JBM,Left,Event,14.15,Event,
H_JBM,Left,Event,15.32,Event,
H_JBM,Left,Event,16.48,Event,
H_JBM,Left,Event,17.64,Event,
H_JBM,Left,Event, 18.8,Event,
H_JBM,Left,Event,19.97,Event,
H_JBM,Right,Foot Strike,  9.39,Foot Strike,
H_JBM,Right,Foot Strike, 10.52,Foot Strike,
H_JBM,Right,Foot Strike, 11.74,Foot Strike,
H_JBM,Right,Foot Strike, 12.92,Foot Strike,
H_JBM,Right,Foot Strike,14.061,Foot Strike,
H_JBM,Right,Foot Strike, 15.22,Foot Strike,
H_JBM,Right,Foot Strike, 16.38,Foot Strike,
H_JBM,Right,Foot Strike, 17.56,Foot Strike,
H_JBM,Right,Foot Strike, 18.71,Foot Strike,
H_JBM,Right,Foot Strike, 19.87,Foot Strike,
H_JBM,Right,Foot Strike, 21.02,Foot Strike,
H_JBM,Right,Event,  10.09,Event,
H_JBM,Right,Event,  11.26,Event,
H_JBM,Right,Event,  12.42,Event,
H_JBM,Right,Event,13.6123,Event,
H_JBM,Right,Event,  14.75,Event,
H_JBM,Right,Event,  15.91,Event,
H_JBM,Right,Event,  17.07,Event,
H_JBM,Right,Event,  18.23,Event,
H_JBM,Right,Event,   19.4,Event,
H_JBM,Right,Event,  20.56,Event,
