Filtered (MAV) muscles activityendheader

time	SOL_L	SOL_R	TA_L	TA_R	GL_L	GL_R
0.00000000	0.05068350	0.00000000	0.01107567	0.04496501	0.01769484	0.00000000
0.00100000	0.05497538	0.00242321	0.01250154	0.07462971	0.02232134	0.00140501
0.00200000	0.05927766	0.00483489	0.01394562	0.10411780	0.02710935	0.00280943
0.00300000	0.06358466	0.00723075	0.01540553	0.13337948	0.03205476	0.00421071
0.00400000	0.06789082	0.00960654	0.01687888	0.16236560	0.03715300	0.00560638
0.00500000	0.07219065	0.01195804	0.01836325	0.19102779	0.04239906	0.00699403
0.00600000	0.07647880	0.01428109	0.01985619	0.21931864	0.04778749	0.00837130
0.00700000	0.08075007	0.01657158	0.02135527	0.24719184	0.05331239	0.00973592
0.00800000	0.08499941	0.01882547	0.02285804	0.27460234	0.05896745	0.01108572
0.00900000	0.08922198	0.02103881	0.02436209	0.30150647	0.06474597	0.01241860
0.01000000	0.09341312	0.02320776	0.02586500	0.32786214	0.07064083	0.01373259
0.01100000	0.09756841	0.02532859	0.02736441	0.35362887	0.07664453	0.01502583
0.01200000	0.10168365	0.02739768	0.02885797	0.37876803	0.08274924	0.01629657
0.01300000	0.10575488	0.02941156	0.03034340	0.40324283	0.08894677	0.01754319
0.01400000	0.10977843	0.03136691	0.03181845	0.42701855	0.09522860	0.01876420
0.01500000	0.11375088	0.03326054	0.03328094	0.45006251	0.10158594	0.01995824
0.01600000	0.11766909	0.03508947	0.03472877	0.47234425	0.10800972	0.02112409
0.01700000	0.12153023	0.03685085	0.03615988	0.49383556	0.11449060	0.02226067
0.01800000	0.12533173	0.03854205	0.03757233	0.51451057	0.12101906	0.02336704
0.01900000	0.12907136	0.04016060	0.03896423	0.53434577	0.12758536	0.02444240
0.02000000	0.13274716	0.04170425	0.04033380	0.55332008	0.13417961	0.02548607
0.02100000	0.13635750	0.04317095	0.04167934	0.57141486	0.14079178	0.02649755
0.02200000	0.13990104	0.04455886	0.04299926	0.58861397	0.14741175	0.02747643
0.02300000	0.14337676	0.04586635	0.04429208	0.60490374	0.15402934	0.02842247
0.02400000	0.14678390	0.04709201	0.04555640	0.62027302	0.16063431	0.02933554
0.02500000	0.15012205	0.04823465	0.04679094	0.63471309	0.16721644	0.03021563
0.02600000	0.15339105	0.04929331	0.04799454	0.64821774	0.17376554	0.03106288
0.02700000	0.15659103	0.05026724	0.04916615	0.66078317	0.18027150	0.03187750
0.02800000	0.15972240	0.05115594	0.05030481	0.67240799	0.18672431	0.03265985
0.02900000	0.16278581	0.05195910	0.05140971	0.68309315	0.19311408	0.03341036
0.03000000	0.16578220	0.05267667	0.05248012	0.69284189	0.19943112	0.03412958
0.03100000	0.16871270	0.05330881	0.05351545	0.70165971	0.20566596	0.03481812
0.03200000	0.17157871	0.05385589	0.05451522	0.70955424	0.21180935	0.03547670
0.03300000	0.17438181	0.05431851	0.05547904	0.71653522	0.21785234	0.03610609
0.03400000	0.17712379	0.05469748	0.05640668	0.72261437	0.22378630	0.03670712
0.03500000	0.17980661	0.05499381	0.05729796	0.72780535	0.22960293	0.03728070
0.03600000	0.18243241	0.05520873	0.05815286	0.73212361	0.23529433	0.03782776
0.03700000	0.18500347	0.05534365	0.05897144	0.73558633	0.24085300	0.03834929
0.03800000	0.18752219	0.05540019	0.05975386	0.73821231	0.24627190	0.03884629
0.03900000	0.18999110	0.05538013	0.06050038	0.74002184	0.25154445	0.03931980
0.04000000	0.19241283	0.05528546	0.06121138	0.74103662	0.25666459	0.03977086
0.04100000	0.19479009	0.05511831	0.06188730	0.74127963	0.26162675	0.04020053
0.04200000	0.19712563	0.05488098	0.06252869	0.74077503	0.26642595	0.04060987
