Toe y trajetcoriesendheader

time	leftToe	rightToe	leftCalf	rightCalf
0.00000000	165.22285461	203.11459351	165.12164307	361.42251587
0.01000000	165.44006348	202.88072205	165.77407837	353.25009155
0.02000000	165.53005981	201.51092529	166.43386841	344.59912109
0.03000000	165.53684998	199.35540771	166.74554443	335.06549072
0.04000000	165.20138550	196.95672607	165.78202820	324.41891479
0.05000000	164.34799194	194.91586304	164.30621338	312.54208374
0.06000000	164.57859802	192.95991516	164.28073120	300.41998291
0.07000000	165.74911499	190.84759521	165.44779968	288.71026611
0.08000000	166.25881958	189.01553345	167.01567078	277.31863403
0.09000000	166.20637512	187.17663574	167.55767822	266.13540649
0.10000000	165.20677185	186.27023315	166.51416016	256.10818481
0.11000000	163.14508057	186.47366333	165.69313049	247.00004578
0.12000000	163.28314209	187.03601074	165.64257812	237.00788879
0.13000000	164.36706543	188.32073975	165.75982666	226.55638123
0.14000000	164.60623169	189.77726746	166.19145203	217.73388672
0.15000000	165.04367065	191.44842529	166.45503235	210.57553101
0.16000000	165.31596375	194.36013794	166.75566101	204.46000671
0.17000000	163.65188599	197.87014771	167.32295227	199.26786804
0.18000000	162.18840027	202.09893799	167.95835876	194.55424500
0.19000000	161.73703003	206.99316406	168.66629028	190.46846008
0.20000000	161.81866455	212.57632446	169.66465759	187.49526978
0.21000000	161.51022339	218.30075073	171.06698608	185.75044250
0.22000000	161.21069336	224.87365723	172.50434875	184.94108582
0.23000000	160.93228149	231.97808838	174.27111816	184.60540771
0.24000000	160.50370789	239.49349976	176.91812134	184.25543213
0.25000000	159.96359253	246.34498596	180.06501770	184.24066162
0.26000000	160.14694214	251.96716309	182.81549072	184.63690186
0.27000000	159.83677673	254.97001648	185.43231201	184.70991516
0.28000000	159.49746704	255.31564331	188.33146667	184.14118958
0.29000000	159.05935669	253.28237915	191.94978333	182.81863403
0.30000000	159.45127869	248.29591370	196.33387756	180.79827881
0.31000000	159.66972351	241.29467773	201.18858337	178.24499512
0.32000000	159.33630371	233.04655457	206.36250305	174.70640564
0.33000000	158.94491577	222.67340088	211.79649353	171.34931946
0.34000000	158.71116638	210.03762817	217.85649109	170.85588074
0.35000000	158.84072876	199.64414978	225.21524048	173.60491943
0.36000000	158.91468811	193.50382996	234.19078064	176.68251038
0.37000000	158.73822021	188.22084045	244.41658020	177.80200195
0.38000000	158.72578430	182.52825928	255.69827271	177.73194885
0.39000000	159.15092468	177.40626526	268.15646362	177.67053223
0.40000000	159.75039673	174.30796814	281.58480835	178.09176636
0.41000000	160.65063477	172.59535217	295.33169556	178.76782227
0.42000000	161.17243958	171.21089172	308.69036865	179.31126404
0.43000000	160.63409424	169.97714233	321.49597168	179.49768066
0.44000000	160.79890442	168.76632690	333.94915771	179.29335022
0.45000000	163.37733459	167.96617126	345.94296265	178.97077942
0.46000000	168.59455872	167.34317017	358.13226318	178.77012634
0.47000000	175.77621460	166.29075623	370.87533569	178.49528503
0.48000000	182.95512390	165.67109680	382.60025024	178.18513489
0.49000000	190.51356506	166.00827026	392.30175781	178.02362061
0.50000000	197.81230164	167.21847534	400.19134521	178.28230286
0.51000000	203.59646606	167.30720520	405.88980103	178.58435059
0.52000000	209.09918213	166.91281128	409.16317749	178.22125244
0.53000000	213.70491028	167.00265503	409.90740967	177.46009827
0.54000000	216.98359680	166.35377502	408.94610596	177.03100586
0.55000000	219.52708435	165.37905884	407.25363159	177.20942688
0.56000000	221.76722717	165.07818604	404.28488159	177.63168335
0.57000000	224.42715454	165.05038452	399.30413818	177.45268250
0.58000000	226.26679993	166.13027954	392.24493408	177.13916016
0.59000000	226.31510925	166.64151001	383.91906738	177.51739502
0.60000000	224.81217957	165.39755249	374.64224243	178.11259460
0.61000000	221.41670227	163.77841187	363.98663330	178.44831848
0.62000000	216.86340332	162.68751526	352.39645386	178.49174500
0.63000000	212.01953125	162.32273865	340.39566040	178.19729614
0.64000000	207.93638611	162.53552246	327.38104248	177.94000244
0.65000000	205.10609436	163.07521057	313.33627319	177.46125793
0.66000000	202.75306702	163.02035522	298.00106812	177.12767029
0.67000000	200.12579346	162.14849854	281.44052124	177.34298706
0.68000000	196.74499512	161.39181519	266.02813721	179.15283203
0.69000000	192.85234070	160.97218323	251.95497131	180.37164307
0.70000000	189.14266968	160.53773499	238.10198975	180.28164673
0.71000000	187.70262146	159.83094788	224.57173157	180.18399048
0.72000000	186.74952698	159.14016724	212.50822449	180.76646423
0.73000000	187.05911255	158.47636414	201.89440918	181.43856812
0.74000000	190.78904724	157.56158447	192.77322388	181.91021729
0.75000000	197.06440735	157.55494690	185.51979065	182.42828369
0.76000000	204.37066650	158.43345642	179.83753967	183.32142639
0.77000000	211.90087891	158.74594116	175.78831482	184.44020081
0.78000000	220.44474792	158.26603699	174.05302429	184.82405090
0.79000000	228.81681824	156.86082458	173.23338318	185.39442444
0.80000000	235.88536072	156.58474731	172.14671326	186.93147278
0.81000000	242.58856201	156.84170532	171.65065002	188.98101807
0.82000000	248.47668457	156.75057983	172.30079651	190.51251221
0.83000000	252.70805359	156.50323486	173.91554260	192.13208008
0.84000000	255.00192261	155.98118591	175.44490051	194.25895691
0.85000000	254.82440186	155.87113953	175.49584961	196.82510376
0.86000000	251.99314880	155.82086182	173.60314941	199.78215027
0.87000000	246.52899170	155.86933899	169.98408508	203.12370300
0.88000000	238.92247009	155.84631348	165.71363831	206.85255432
0.89000000	230.72576904	155.49508667	161.14059448	210.94657898
0.90000000	221.33567810	155.55140686	155.93579102	215.77911377
0.91000000	211.28091431	155.58576965	151.87667847	220.91957092
0.92000000	201.91802979	155.34078979	152.29890442	226.34207153
0.93000000	194.78448486	155.59484863	157.18008423	232.59654236
0.94000000	192.23394775	155.89741516	162.23199463	239.73268127
0.95000000	191.08692932	155.61737061	165.03330994	247.40873718
0.96000000	184.31234741	156.26005554	165.57450867	255.89468384
0.97000000	175.37120056	157.09696960	164.95626831	265.27035522
0.98000000	171.12370300	157.54833984	164.56381226	275.17254639
0.99000000	169.81201172	157.59294128	165.35357666	285.70379639
1.00000000	169.26675415	158.08506775	165.99098206	296.76998901
1.01000000	169.34419250	158.79747009	166.20582581	307.93191528
1.02000000	168.91854858	159.69009399	166.78446960	318.81188965
1.03000000	168.22195435	160.68225098	167.02073669	328.96356201
1.04000000	167.79881287	161.22610474	166.73361206	338.18740845
1.05000000	167.49768066	163.44726562	166.16081238	346.63192749
1.06000000	166.99841309	168.28077698	165.82870483	354.97308350
1.07000000	166.54121399	174.08261108	165.81922913	363.26559448
1.08000000	167.00469971	180.25668335	165.83251953	370.37048340
1.09000000	167.25282288	186.19395447	165.60261536	375.04635620
1.10000000	166.63478088	190.82502747	165.08538818	377.24392700
1.11000000	166.59059143	194.62081909	164.67178345	377.82458496
1.12000000	166.60362244	196.70793152	164.57664490	377.04455566
1.13000000	166.14485168	198.08631897	164.53500366	374.79373169
1.14000000	166.34783936	199.63656616	164.41984558	371.15979004
1.15000000	165.96246338	201.41043091	163.86021423	366.27206421
1.16000000	165.34220886	201.63931274	163.34709167	360.23980713
1.17000000	165.50103760	200.69409180	163.11137390	353.20452881
1.18000000	165.65234375	198.98556519	162.80828857	345.30734253
1.19000000	164.68623352	196.38049316	162.58460999	336.25527954
1.20000000	164.51387024	193.91712952	162.69018555	326.47769165
1.21000000	164.52473450	193.14634705	162.82901001	316.24926758
1.22000000	164.48620605	191.90986633	162.86723328	305.37817383
1.23000000	165.36997986	189.56700134	162.95111084	293.69372559
1.24000000	166.08703613	187.43663025	163.51113892	281.74255371
1.25000000	165.93356323	185.71327209	164.17185974	270.23776245
1.26000000	165.40156555	184.62733459	164.55041504	260.19564819
1.27000000	164.73306274	184.21855164	164.03790283	251.11740112
1.28000000	165.42828369	185.06779480	163.47100830	241.72662354
1.29000000	165.91278076	186.34678650	163.31919861	232.26661682
1.30000000	165.46046448	187.80488586	163.22299194	223.69223022
1.31000000	164.93444824	189.93565369	162.90554810	215.96768188
1.32000000	165.77198792	191.96476746	163.01989746	208.79937744
1.33000000	166.16879272	194.23439026	163.57128906	202.02687073
1.34000000	165.73460388	198.86698914	163.50903320	196.38948059
1.35000000	165.58512878	203.88960266	163.75625610	192.12495422
1.36000000	164.17671204	208.91833496	164.76603699	188.94329834
1.37000000	162.56227112	214.43724060	165.81159973	186.71063232
1.38000000	162.29910278	220.38223267	166.49081421	185.46810913
1.39000000	162.54643250	225.87582397	166.92471313	185.01066589
1.40000000	162.35389709	231.85617065	167.76705933	185.05230713
1.41000000	161.89544678	238.74311829	168.93962097	185.25907898
1.42000000	161.74009705	244.57902527	170.25740051	185.39007568
1.43000000	161.48402405	249.41297913	171.87510681	185.38610840
1.44000000	160.66952515	252.95973206	173.67335510	185.40351868
1.45000000	160.02542114	254.02383423	175.62254333	185.32019043
1.46000000	159.53721619	252.65704346	178.06781006	184.70927429
1.47000000	159.15950012	249.36756897	180.76608276	183.12025452
1.48000000	159.32427979	244.83422852	183.73010254	180.89971924
1.49000000	159.06037903	239.08648682	187.25784302	178.54269409
1.50000000	158.88900757	232.05230713	191.28750610	175.99690247
1.51000000	159.19926453	224.45988464	195.74455261	173.33865356
1.52000000	158.84167480	215.53041077	200.55467224	171.98814392
1.53000000	158.99801636	204.86074829	206.09484863	172.92601013
1.54000000	158.75588989	196.33152771	212.75976562	174.89131165
1.55000000	158.28144836	191.22950745	220.33537292	176.14132690
1.56000000	158.55714417	186.49465942	229.05102539	176.76768494
1.57000000	159.12818909	181.35470581	239.29475403	177.31848145
1.58000000	159.42524719	177.20332336	250.92007446	177.67947388
1.59000000	159.52906799	174.93203735	263.79287720	177.96862793
1.60000000	159.90417480	173.75675964	277.59036255	178.46424866
