UNKNOWN
version=1
nRows=1928
nColumns=8
inDegrees=no
endheader
time	Coordinates(Deg.)	med_gas_l	med_gas_r	soleus_l	soleus_r	tib_ant_l	tib_ant_r
      0.00000000	      0.00000000	      0.08087625	      0.06724245	      0.04358332	      0.04427504	      0.07002586	      0.06920838
      1.00000000	      0.01000000	      0.08143563	      0.06809401	      0.04370860	      0.04489799	      0.06987784	      0.06847159
      2.00000000	      0.02000000	      0.08197807	      0.06894513	      0.04383960	      0.04551076	      0.06972305	      0.06774619
      3.00000000	      0.03000000	      0.08249113	      0.06979674	      0.04398587	      0.04609935	      0.06955019	      0.06704874
      4.00000000	      0.04000000	      0.08296626	      0.07064953	      0.04415551	      0.04665133	      0.06934968	      0.06639398
      5.00000000	      0.05000000	      0.08339961	      0.07150359	      0.04435450	      0.04715628	      0.06911443	      0.06579439
      6.00000000	      0.06000000	      0.08379194	      0.07235823	      0.04458626	      0.04760589	      0.06884036	      0.06525996
      7.00000000	      0.07000000	      0.08414815	      0.07321120	      0.04485154	      0.04799384	      0.06852654	      0.06479837
      8.00000000	      0.08000000	      0.08447621	      0.07405856	      0.04514850	      0.04831552	      0.06817512	      0.06441531
      9.00000000	      0.09000000	      0.08478588	      0.07489482	      0.04547290	      0.04856776	      0.06779103	      0.06411472
     10.00000000	      0.10000000	      0.08508720	      0.07571324	      0.04581851	      0.04874863	      0.06738161	      0.06389908
     11.00000000	      0.11000000	      0.08538887	      0.07650638	      0.04617744	      0.04885741	      0.06695615	      0.06376932
     12.00000000	      0.12000000	      0.08569679	      0.07726689	      0.04654057	      0.04889487	      0.06652542	      0.06372463
     13.00000000	      0.13000000	      0.08601306	      0.07830445	      0.04689800	      0.04886356	      0.06610115	      0.06376199
     14.00000000	      0.14000000	      0.08633546	      0.07903520	      0.04723953	      0.04876832	      0.06569547	      0.06387559
     15.00000000	      0.15000000	      0.08665775	      0.07975605	      0.04755530	      0.04861670	      0.06532011	      0.06405639
     16.00000000	      0.16000000	      0.08697063	      0.08047547	      0.04783653	      0.04841906	      0.06498559	      0.06429195
     17.00000000	      0.17000000	      0.08726307	      0.08120405	      0.04807627	      0.04818843	      0.06470024	      0.06456669
     18.00000000	      0.18000000	      0.08752413	      0.08195022	      0.04827025	      0.04793971	      0.06446923	      0.06486280
     19.00000000	      0.19000000	      0.08774456	      0.08271691	      0.04841757	      0.04768854	      0.06429372	      0.06516165
     20.00000000	      0.20000000	      0.08791836	      0.08349931	      0.04852122	      0.04744961	      0.06417020	      0.06544578
     21.00000000	      0.21000000	      0.08804376	      0.08428475	      0.04858830	      0.04723483	      0.06409024	      0.06570105
     22.00000000	      0.22000000	      0.08812353	      0.08504801	      0.04862977	      0.04705153	      0.06404080	      0.06591883
     23.00000000	      0.23000000	      0.08816463	      0.08575052	      0.04865970	      0.04690103	      0.06400511	      0.06609756
     24.00000000	      0.24000000	      0.08817678	      0.08635799	      0.04869387	      0.04677798	      0.06396437	      0.06624366
     25.00000000	      0.25000000	      0.08817038	      0.08684022	      0.04874779	      0.04667057	      0.06390007	      0.06637115
     26.00000000	      0.26000000	      0.08815366	      0.08716957	      0.04883424	      0.04656185	      0.06379696	      0.06650017
     27.00000000	      0.27000000	      0.08812953	      0.08732234	      0.04896043	      0.04643198	      0.06364640	      0.06665425
     28.00000000	      0.28000000	      0.08809245	      0.08727955	      0.04912531	      0.04626128	      0.06344961	      0.06685672
     29.00000000	      0.29000000	      0.08802588	      0.08702991	      0.04931714	      0.04603354	      0.06322055	      0.06712676
     30.00000000	      0.30000000	      0.08790087	      0.08657353	      0.04951195	      0.04573914	      0.06298779	      0.06747566
     31.00000000	      0.31000000	      0.08767607	      0.08592424	      0.04967325	      0.04537747	      0.06279497	      0.06790404
