UNKNOWN
version=1
nRows=1928
nColumns=8
inDegrees=no
endheader
time	Coordinates(Deg.)	lat_gas_l	lat_gas_r	soleus_l	soleus_r	tib_ant_l	tib_ant_r
      0.00000000	      0.00000000	      0.05251613	      0.03934048	      0.04355245	      0.04432336	      0.07006233	      0.06915125
      1.00000000	      0.01000000	      0.05311393	      0.04053170	      0.04363545	      0.04539236	      0.06996427	      0.06788640
      2.00000000	      0.02000000	      0.05352000	      0.04141037	      0.04363376	      0.04607640	      0.06996627	      0.06707594
      3.00000000	      0.03000000	      0.05408101	      0.04191195	      0.04383956	      0.04629870	      0.06972310	      0.06681236
      4.00000000	      0.04000000	      0.05479598	      0.04255621	      0.04412514	      0.04660849	      0.06938558	      0.06644482
      5.00000000	      0.05000000	      0.05536133	      0.04347924	      0.04406441	      0.04714714	      0.06945736	      0.06580525
      6.00000000	      0.06000000	      0.05607726	      0.04441840	      0.04427599	      0.04763043	      0.06920725	      0.06523077
      7.00000000	      0.07000000	      0.05634533	      0.04527114	      0.04490847	      0.04794705	      0.06845919	      0.06485406
      8.00000000	      0.08000000	      0.05621808	      0.04615226	      0.04566295	      0.04824351	      0.06756592	      0.06450109
      9.00000000	      0.09000000	      0.05635996	      0.04680201	      0.04615027	      0.04830962	      0.06698837	      0.06442233
     10.00000000	      0.10000000	      0.05646473	      0.04749840	      0.04616201	      0.04839477	      0.06697445	      0.06432090
     11.00000000	      0.11000000	      0.05623620	      0.04839605	      0.04578609	      0.04863033	      0.06742003	      0.06404013
     12.00000000	      0.12000000	      0.05671774	      0.04919735	      0.04608970	      0.04870357	      0.06706017	      0.06395280
     13.00000000	      0.13000000	      0.05750134	      0.05006652	      0.04669965	      0.04881762	      0.06633663	      0.06381679
     14.00000000	      0.14000000	      0.05799746	      0.05100137	      0.04706340	      0.04895457	      0.06590472	      0.06365340
     15.00000000	      0.15000000	      0.05870622	      0.05172781	      0.04764816	      0.04885623	      0.06520968	      0.06377073
     16.00000000	      0.16000000	      0.05923610	      0.05246529	      0.04811856	      0.04870532	      0.06464989	      0.06395071
     17.00000000	      0.17000000	      0.05907828	      0.05316014	      0.04802651	      0.04850202	      0.06475948	      0.06419308
     18.00000000	      0.18000000	      0.05899869	      0.05385346	      0.04797140	      0.04828630	      0.06482508	      0.06445011
     19.00000000	      0.19000000	      0.05925899	      0.05454822	      0.04817909	      0.04802873	      0.06457780	      0.06475684
     20.00000000	      0.20000000	      0.05962036	      0.05527809	      0.04849813	      0.04772775	      0.06419772	      0.06511501
     21.00000000	      0.21000000	      0.05985051	      0.05581672	      0.04869122	      0.04723782	      0.06396753	      0.06569750
     22.00000000	      0.22000000	      0.06001207	      0.05634902	      0.04882664	      0.04674728	      0.06380603	      0.06628009
     23.00000000	      0.23000000	      0.06012863	      0.05694343	      0.04894578	      0.04636216	      0.06366388	      0.06673709
     24.00000000	      0.24000000	      0.06018888	      0.05755572	      0.04902989	      0.04611206	      0.06356352	      0.06703366
     25.00000000	      0.25000000	      0.06008393	      0.05800829	      0.04896382	      0.04588724	      0.06364236	      0.06730016
     26.00000000	      0.26000000	      0.06023579	      0.05846294	      0.04914737	      0.04590130	      0.06342328	      0.06728350
     27.00000000	      0.27000000	      0.06017039	      0.05877172	      0.04921656	      0.04605976	      0.06334067	      0.06709567
     28.00000000	      0.28000000	      0.05988843	      0.05905153	      0.04916268	      0.04636593	      0.06340500	      0.06673261
     29.00000000	      0.29000000	      0.05956744	      0.05926209	      0.04914430	      0.04668335	      0.06342694	      0.06635598
     30.00000000	      0.30000000	      0.05936671	      0.05900440	      0.04926578	      0.04660880	      0.06328189	      0.06644445
     31.00000000	      0.31000000	      0.05894206	      0.05843506	      0.04921834	      0.04627810	      0.06333854	      0.06683678
     32.00000000	      0.32000000	      0.05838929	      0.05788099	      0.04911468	      0.04604675	      0.06346230	      0.06711109
     33.00000000	      0.33000000	      0.05778566	      0.05692848	      0.04904796	      0.04559802	      0.06354194	      0.06764283
     34.00000000	      0.34000000	      0.05686219	      0.05505717	      0.04876489	      0.04438613	      0.06387968	      0.06907703
     35.00000000	      0.35000000	      0.05571485	      0.05296411	      0.04833454	      0.04285852	      0.06439265	      0.07088185
     36.00000000	      0.36000000	      0.05438463	      0.05155521	      0.04775932	      0.04178109	      0.06507745	      0.07215358
     37.00000000	      0.37000000	      0.05279492	      0.05083166	      0.04699348	      0.04141886	      0.06598777	      0.07258105
     38.00000000	      0.38000000	      0.05092366	      0.05050846	      0.04598683	      0.04170821	      0.06718212	      0.07223959
     39.00000000	      0.39000000	      0.04854105	      0.05040487	      0.04450746	      0.04235782	      0.06893355	      0.07147292
     40.00000000	      0.40000000	      0.04581872	      0.05044789	      0.04272671	      0.04295000	      0.07103746	      0.07077383
     41.00000000	      0.41000000	      0.04266295	      0.05050290	      0.04057135	      0.04327287	      0.07358122	      0.07039256
     42.00000000	      0.42000000	      0.03879497	      0.05060908	      0.03787023	      0.04348450	      0.07677370	      0.07014260
     43.00000000	      0.43000000	      0.03437612	      0.05094699	      0.03478802	      0.04385748	      0.08044446	      0.06970192
     44.00000000	      0.44000000	      0.02975920	      0.05135016	      0.03158497	      0.04423138	      0.08433854	      0.06925999
     45.00000000	      0.45000000	      0.02595713	      0.05174014	      0.02917587	      0.04449366	      0.08737972	      0.06894988
     46.00000000	      0.46000000	      0.02267281	      0.05210807	      0.02739858	      0.04469413	      0.08973956	      0.06871276
     47.00000000	      0.47000000	      0.01983677	      0.05244221	      0.02607009	      0.04490988	      0.09161247	      0.06845751
