ANALOG
2000.000000,Hz
Sample #,Fx1,Fy1,Fz1,Mx1,My1,Mz1,RMG,LMG,RTA,LTA,SPEED,MP,S1,SYNC
Units:,N,N,N,Nmm,Nmm,Nmm,V,V,V,V,V,V,V,V
781,0.594358,0.082396,-1.228822,38.881496,40.163490,-9.002554,-0.000087,0.000004,-0.000000,0.000002,-0.050388,0.016064,0.000725,1.249962
782,0.361643,0.083981,-1.470409,3.097289,24.159910,8.083787,-0.000010,-0.000005,-0.000002,0.000001,-0.052219,0.018201,0.000381,1.249962
783,0.387843,0.129760,-1.534789,-0.498422,8.277740,9.111615,-0.000000,-0.000006,0.000005,0.000010,-0.050540,0.016522,0.000420,1.249962
784,0.396480,0.063030,-1.479782,6.481376,12.194323,-0.765305,0.000026,0.000012,-0.000010,0.000005,-0.050693,0.019269,0.000534,1.249962
785,0.390486,0.114883,-1.406679,14.054626,18.601269,8.550637,0.000043,0.000011,-0.000005,0.000001,-0.050082,0.016370,0.000954,1.249962
786,0.300015,0.027410,-1.551953,18.195295,24.190479,-5.018876,0.000019,-0.000001,-0.000007,0.000004,-0.053897,0.015759,0.001259,0.342331
787,0.536803,0.080726,-1.557598,8.853109,30.090824,8.772057,-0.000070,-0.000007,-0.000003,0.000006,-0.049777,0.016217,0.001259,0.341187
788,0.509853,-0.025412,-1.340284,23.281157,30.180176,-2.855406,0.000062,-0.000007,-0.000005,0.000008,-0.049777,0.015759,0.001564,0.342636
789,0.473590,-0.005692,-1.455731,14.498169,24.597229,-3.671839,-0.000000,0.000013,0.000001,-0.000003,-0.051303,0.014539,0.001755,0.341835
790,0.509750,-0.016633,-1.484563,20.028173,26.857725,-5.020259,0.000037,0.000061,0.000002,0.000006,-0.052524,0.016370,0.000610,0.342484
791,0.752441,-0.026700,-1.351189,31.688414,48.052567,-11.775019,0.000010,0.000011,0.000005,0.000005,-0.049319,0.017285,0.000877,1.249962
792,0.667454,-0.010297,-1.623319,14.708481,21.311666,-0.239467,0.000010,-0.000089,0.000006,0.000006,-0.051761,0.017896,0.001030,1.249962
793,0.615770,-0.015895,-1.352817,16.711428,33.153923,-3.948015,-0.000026,-0.000026,0.000006,0.000004,-0.052066,0.017590,0.001183,1.249962
794,0.685230,-0.065063,-1.605828,16.137253,30.339041,0.489932,-0.000009,0.000017,-0.000002,-0.000004,-0.049930,0.012402,0.000877,1.249962
795,0.615166,-0.027970,-1.370431,19.252260,19.359926,2.114265,0.000054,0.000028,-0.000001,0.000003,-0.050998,0.019727,0.001640,1.249962
796,0.635831,-0.038525,-1.625023,13.030660,10.573993,-8.181310,0.000009,-0.000001,-0.000005,0.000010,-0.054965,0.016217,0.000305,0.337639
797,0.594906,-0.010655,-1.347395,1.861384,30.276627,-2.553112,-0.000038,-0.000006,-0.000009,0.000009,-0.050388,0.014539,-0.000381,0.338745
