EVENTS
Subject,Context,Name,Time (s),Description
#208_100903,Left,Foot Strike,0.915000,Foot Strike
#208_100903,Left,Foot Strike,1.990000,Foot Strike
#208_100903,Left,Foot Strike,3.160000,Foot Strike
#208_100903,Left,Foot Strike,4.340000,Foot Strike
#208_100903,Left,Foot Strike,5.570000,Foot Strike
#208_100903,Left,Foot Strike,6.790000,Foot Strike
#208_100903,Left,Foot Strike,7.940000,Foot Strike
#208_100903,Left,Foot Strike,9.070000,Foot Strike
#208_100903,Left,Foot Strike,10.210000,Foot Strike
#208_100903,Left,Foot Strike,11.670000,Foot Strike
#208_100903,Right,Foot Strike,1.460000,Foot Strike
#208_100903,Right,Foot Strike,2.720000,Foot Strike
#208_100903,Right,Foot Strike,3.890000,Foot Strike
#208_100903,Right,Foot Strike,5.050000,Foot Strike
#208_100903,Right,Foot Strike,6.320000,Foot Strike
#208_100903,Right,Foot Strike,7.490000,Foot Strike
#208_100903,Right,Foot Strike,8.580000,Foot Strike
#208_100903,Right,Foot Strike,9.725000,Foot Strike
#208_100903,Right,Foot Strike,10.970000,Foot Strike
#208_100903,Right,Foot Strike,12.265000,Foot Strike

