TRAJECTORIES
200.000000,Hz
LCrest_X,LCrest_Y,LCrest_Z,LHip_X,LHip_Y,LHip_Z,LKnee_X,LKnee_Y,LKnee_Z,LAnkle_X,LAnkle_Y,LAnkle_Z,LMTP_X,LMTP_Y,LMTP_Z,LTip_X,LTip_Y,LTip_Z,RCrest_X,RCrest_Y,RCrest_Z,RHip_X,RHip_Y,RHip_Z,RKnee_X,RKnee_Y,RKnee_Z,RAnkle_X,RAnkle_Y,RAnkle_Z,RMTP_X,RMTP_Y,RMTP_Z,RTip_X,RTip_Y,RTip_Z,COP_FP1_X,COP_FP1_Y,COP_FP1_Z,RawCentreFP1_X,RawCentreFP1_Y,RawCentreFP1_Z,VECTIP_FP1_X,VECTIP_FP1_Y,VECTIP_FP1_Z,Force_FP1_X,Force_FP1_Y,Force_FP1_Z,RawForceFP1_X,RawForceFP1_Y,RawForceFP1_Z,RawMomentFP1_X,RawMomentFP1_Y,RawMomentFP1_Z
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
79,60.928627,113.533615,92.325485,62.798088,102.299118,67.604271,66.752487,130.605331,55.869232,66.812164,96.560616,23.495419,66.174194,98.224129,7.560241,62.150936,104.110008,2.424344,90.799942,107.303879,97.743835,96.988777,99.891327,74.156296,98.257690,132.583206,65.038109,98.038704,122.571190,18.432531,99.568718,133.450195,5.450630,101.922173,142.710709,1.933646,50.012623,113.401718,0.000000,81.000000,76.000000,0.000000,50.095020,113.996071,1.228822,50.095020,113.996071,1.228822,0.082395,0.594358,1.228822,45.960045,38.077957,9.002554
80,61.021664,113.356659,92.444168,62.884357,102.136078,67.687683,66.617195,130.417999,55.967949,66.725609,96.281853,23.605707,66.155136,97.886421,7.582345,62.235077,103.680702,2.403534,90.863998,107.268921,97.738281,97.052399,99.871147,74.102707,98.051804,132.421722,64.896301,97.878906,122.147614,18.396751,99.506317,132.983276,5.445748,102.002899,142.298401,1.969880,57.354996,116.994156,0.000000,81.000000,76.000000,0.000000,57.328293,117.746597,1.351189,57.328293,117.746597,1.351189,-0.026700,0.752441,1.351189,55.390846,31.948860,11.775016
81,61.076691,113.136841,92.554871,62.912163,101.865662,67.925385,66.511726,130.192535,56.036381,66.749931,96.051895,23.636747,66.122849,97.501221,7.591156,62.198551,103.201103,2.410341,91.001953,107.212936,97.723434,97.172501,99.822342,74.080956,98.032524,132.361710,64.774902,97.705734,121.665024,18.363766,99.542458,132.526642,5.499133,102.030441,141.800110,1.993295,62.296032,110.604950,0.000000,81.000000,76.000000,0.000000,62.298218,111.204567,1.260938,62.298218,111.204567,1.260938,0.002187,0.599621,1.260938,43.634697,23.584539,11.126449
82,61.101498,112.945892,92.661156,63.047600,101.738205,67.986069,66.340096,129.965317,56.199802,66.657196,95.801842,23.711008,66.071709,97.119568,7.588879,62.176018,102.750854,2.426874,91.178017,107.102806,97.690750,97.269775,99.710182,74.052971,98.006447,132.204300,64.622803,97.492981,121.168526,18.333813,99.392815,131.999329,5.505748,101.801788,141.299545,1.850665,61.678677,110.764748,0.000000,81.000000,76.000000,0.000000,61.668583,111.383934,1.293568,61.668583,111.383934,1.293568,-0.010092,0.619187,1.293568,44.970562,24.993441,6.326031
83,61.150906,112.764946,92.719780,63.124641,101.588425,68.052567,66.277061,129.723633,56.250126,66.538223,95.482918,23.789061,66.027084,96.741402,7.607694,62.219120,102.320007,2.423215,91.155296,106.996452,97.638123,97.364883,99.602051,74.024963,98.083290,131.985336,64.694618,97.290504,120.640175,18.315130,99.397827,131.499039,5.581088,101.963341,140.852676,2.002932,42.215305,115.890953,0.000000,81.000000,76.000000,0.000000,42.131031,116.497047,1.013711,42.131031,116.497047,1.013711,-0.084274,0.606093,1.013711,40.437904,39.316471,25.342022
84,61.176323,112.573021,92.788177,63.099804,101.322960,68.255325,66.211136,129.518402,56.293430,66.505264,95.268394,23.829865,65.982559,96.366020,7.619189,62.157818,101.827698,2.431995,91.223633,106.851631,97.645180,97.400368,99.449074,73.966637,98.157410,131.812195,64.641975,97.125481,120.165489,18.305422,99.294327,131.030441,5.588874,101.952103,140.430069,2.012736,52.451427,126.527008,0.000000,81.000000,76.000000,0.000000,52.388439,127.205994,0.911836,52.388439,127.205994,0.911836,-0.062988,0.678986,0.911836,46.072342,26.031607,26.795242
85,61.216328,112.409859,92.824554,63.150318,101.149521,68.295113,66.089371,129.304901,56.363480,66.418076,95.040573,23.838814,65.936913,95.990730,7.594428,62.186470,101.395035,2.435440,91.243454,106.675209,97.641335,97.419617,99.248955,73.900940,98.217728,131.622833,64.592987,97.028503,119.733788,18.305704,99.319824,130.576782,5.633791,101.812965,139.962860,1.892075,39.922844,124.818962,0.000000,81.000000,76.000000,0.000000,39.793007,125.263680,0.922566,39.793007,125.263680,0.922566,-0.129837,0.444719,0.922566,45.038696,37.896366,20.168346
86,61.239391,112.268829,92.853249,63.235249,100.991348,68.305428,66.024734,129.072845,56.387562,66.283875,94.801666,23.896761,65.902031,95.640625,7.603946,62.166153,100.982292,2.416421,91.278572,106.493851,97.567406,97.469200,99.006424,73.832573,98.095123,131.278763,64.489967,96.998062,119.366302,18.383146,99.308281,130.172272,5.681890,102.000496,139.531143,2.048083,44.782963,125.771912,0.000000,81.000000,76.000000,0.000000,44.702156,126.515686,0.906962,44.702156,126.515686,0.906962,-0.080805,0.743778,0.906962,45.141247,32.847485,-0.910447
87,61.276333,112.138939,92.886627,63.135647,100.838997,68.372276,65.988396,128.860687,56.422131,66.190216,94.524811,23.948626,65.833672,95.276611,7.607532,62.129360,100.580040,2.394515,91.416306,106.303513,97.563080,97.490814,98.759857,73.757774,98.198624,131.085648,64.450005,96.920288,118.979294,18.394405,99.248062,129.724976,5.655593,101.998390,139.096512,2.033383,53.476833,122.369499,0.000000,81.000000,76.000000,0.000000,53.437901,123.182968,1.015524,53.437901,123.182968,1.015524,-0.038933,0.813469,1.015524,47.089352,27.950439,7.806667
