UNKNOWN
version=1
nRows=2479
nColumns=4
inDegrees=no
endheader
time	Coordinates(Deg.)	MG	TA
      0.00000000	      0.00500000	      0.02789787	      0.02496219
      1.00000000	      0.01000000	      0.02790562	      0.02494390
      2.00000000	      0.01500000	      0.02792668	      0.02489258
      3.00000000	      0.02000000	      0.02793820	      0.02486338
      4.00000000	      0.02500000	      0.02795146	      0.02481818
      5.00000000	      0.03000000	      0.02795777	      0.02478811
      6.00000000	      0.03500000	      0.02796279	      0.02476191
      7.00000000	      0.04000000	      0.02796033	      0.02476761
      8.00000000	      0.04500000	      0.02795086	      0.02476460
      9.00000000	      0.05000000	      0.02794091	      0.02475936
     10.00000000	      0.05500000	      0.02793971	      0.02475772
     11.00000000	      0.06000000	      0.02794821	      0.02473686
     12.00000000	      0.06500000	      0.02795042	      0.02472732
     13.00000000	      0.07000000	      0.02794698	      0.02472550
     14.00000000	      0.07500000	      0.02793852	      0.02473325
     15.00000000	      0.08000000	      0.02793730	      0.02472210
     16.00000000	      0.08500000	      0.02793256	      0.02471998
     17.00000000	      0.09000000	      0.02793439	      0.02471015
     18.00000000	      0.09500000	      0.02793404	      0.02470148
     19.00000000	      0.10000000	      0.02793685	      0.02469307
     20.00000000	      0.10500000	      0.02791944	      0.02471824
     21.00000000	      0.11000000	      0.02792543	      0.02469970
     22.00000000	      0.11500000	      0.02791451	      0.02470624
     23.00000000	      0.12000000	      0.02790263	      0.02471161
     24.00000000	      0.12500000	      0.02789808	      0.02471204
     25.00000000	      0.13000000	      0.02789900	      0.02470272
     26.00000000	      0.13500000	      0.02789400	      0.02470789
     27.00000000	      0.14000000	      0.02788926	      0.02470739
     28.00000000	      0.14500000	      0.02788352	      0.02470816
     29.00000000	      0.15000000	      0.02787801	      0.02470972
     30.00000000	      0.15500000	      0.02787267	      0.02470668
     31.00000000	      0.16000000	      0.02786492	      0.02470976
     32.00000000	      0.16500000	      0.02785837	      0.02471223
     33.00000000	      0.17000000	      0.02785815	      0.02470215
     34.00000000	      0.17500000	      0.02783978	      0.02472592
     35.00000000	      0.18000000	      0.02785491	      0.02469800
     36.00000000	      0.18500000	      0.02783348	      0.02473905
     37.00000000	      0.19000000	      0.02783680	      0.02472670
     38.00000000	      0.19500000	      0.02783365	      0.02472471
     39.00000000	      0.20000000	      0.02782593	      0.02472743
     40.00000000	      0.20500000	      0.02781088	      0.02473825
     41.00000000	      0.21000000	      0.02781824	      0.02471463
     42.00000000	      0.21500000	      0.02779858	      0.02473669
     43.00000000	      0.22000000	      0.02780208	      0.02473902
     44.00000000	      0.22500000	      0.02780321	      0.02473146
     45.00000000	      0.23000000	      0.02778855	      0.02474316
     46.00000000	      0.23500000	      0.02777820	      0.02475002
     47.00000000	      0.24000000	      0.02778631	      0.02472892
     48.00000000	      0.24500000	      0.02777481	      0.02473692
     49.00000000	      0.25000000	      0.02776684	      0.02473680
     50.00000000	      0.25500000	      0.02777324	      0.02472179
     51.00000000	      0.26000000	      0.02776635	      0.02473515
     52.00000000	      0.26500000	      0.02775750	      0.02474317
     53.00000000	      0.27000000	      0.02775747	      0.02473164
     54.00000000	      0.27500000	      0.02775585	      0.02472562
     55.00000000	      0.28000000	      0.02775036	      0.02472642
     56.00000000	      0.28500000	      0.02774138	      0.02472716
     57.00000000	      0.29000000	      0.02773577	      0.02472606
     58.00000000	      0.29500000	      0.02771272	      0.02475055
     59.00000000	      0.30000000	      0.02770864	      0.02474904
     60.00000000	      0.30500000	      0.02770480	      0.02473996
     61.00000000	      0.31000000	      0.02769641	      0.02474166
     62.00000000	      0.31500000	      0.02770843	      0.02472975
     63.00000000	      0.32000000	      0.02770921	      0.02472815
     64.00000000	      0.32500000	      0.02770739	      0.02473432
     65.00000000	      0.33000000	      0.02770924	      0.02473760
     66.00000000	      0.33500000	      0.02771456	      0.02474624
     67.00000000	      0.34000000	      0.02771139	      0.02476887
     68.00000000	      0.34500000	      0.02773511	      0.02475936
     69.00000000	      0.35000000	      0.02774713	      0.02477041
     70.00000000	      0.35500000	      0.02775914	      0.02478390
     71.00000000	      0.36000000	      0.02776814	      0.02479699
     72.00000000	      0.36500000	      0.02777578	      0.02480059
     73.00000000	      0.37000000	      0.02776992	      0.02481734
     74.00000000	      0.37500000	      0.02774929	      0.02485403
     75.00000000	      0.38000000	      0.02773160	      0.02486905
     76.00000000	      0.38500000	      0.02771422	      0.02489886
     77.00000000	      0.39000000	      0.02770452	      0.02490855
     78.00000000	      0.39500000	      0.02767735	      0.02494510
     79.00000000	      0.40000000	      0.02763721	      0.02499435
     80.00000000	      0.40500000	      0.02760791	      0.02502441
     81.00000000	      0.41000000	      0.02757680	      0.02505743
     82.00000000	      0.41500000	      0.02754159	      0.02509282
     83.00000000	      0.42000000	      0.02750915	      0.02513339
     84.00000000	      0.42500000	      0.02749628	      0.02513293
     85.00000000	      0.43000000	      0.02746464	      0.02515753
     86.00000000	      0.43500000	      0.02744671	      0.02517622
     87.00000000	      0.44000000	      0.02742912	      0.02519478
     88.00000000	      0.44500000	      0.02742097	      0.02518915
     89.00000000	      0.45000000	      0.02739569	      0.02521140
     90.00000000	      0.45500000	      0.02737417	      0.02522914
     91.00000000	      0.46000000	      0.02737196	      0.02521654
     92.00000000	      0.46500000	      0.02734984	      0.02523516
     93.00000000	      0.47000000	      0.02733516	      0.02524940
     94.00000000	      0.47500000	      0.02733484	      0.02524186
     95.00000000	      0.48000000	      0.02730445	      0.02525898
     96.00000000	      0.48500000	      0.02728374	      0.02525616
     97.00000000	      0.49000000	      0.02727458	      0.02526594
     98.00000000	      0.49500000	      0.02726075	      0.02526771
     99.00000000	      0.50000000	      0.02724179	      0.02528706
    100.00000000	      0.50500000	      0.02721855	      0.02528660
    101.00000000	      0.51000000	      0.02719880	      0.02528124
    102.00000000	      0.51500000	      0.02716120	      0.02530666
    103.00000000	      0.52000000	      0.02714902	      0.02530212
    104.00000000	      0.52500000	      0.02713008	      0.02529072
    105.00000000	      0.53000000	      0.02709527	      0.02531284
    106.00000000	      0.53500000	      0.02708145	      0.02530666
    107.00000000	      0.54000000	      0.02704057	      0.02533085
    108.00000000	      0.54500000	      0.02701035	      0.02533938
    109.00000000	      0.55000000	      0.02697761	      0.02536960
    110.00000000	      0.55500000	      0.02695748	      0.02538102
    111.00000000	      0.56000000	      0.02691162	      0.02542377
    112.00000000	      0.56500000	      0.02688607	      0.02545358
    113.00000000	      0.57000000	      0.02686095	      0.02547907
    114.00000000	      0.57500000	      0.02683109	      0.02551047
    115.00000000	      0.58000000	      0.02682318	      0.02551478
    116.00000000	      0.58500000	      0.02679398	      0.02554714
    117.00000000	      0.59000000	      0.02677437	      0.02557368
    118.00000000	      0.59500000	      0.02675666	      0.02559852
    119.00000000	      0.60000000	      0.02675388	      0.02560235
    120.00000000	      0.60500000	      0.02673955	      0.02561902
    121.00000000	      0.61000000	      0.02672110	      0.02564559
    122.00000000	      0.61500000	      0.02671567	      0.02565393
    123.00000000	      0.62000000	      0.02670508	      0.02567034
    124.00000000	      0.62500000	      0.02669268	      0.02568548
    125.00000000	      0.63000000	      0.02669029	      0.02569302
    126.00000000	      0.63500000	      0.02667878	      0.02570964
    127.00000000	      0.64000000	      0.02667237	      0.02571688
    128.00000000	      0.64500000	      0.02666479	      0.02573374
    129.00000000	      0.65000000	      0.02666360	      0.02574126
    130.00000000	      0.65500000	      0.02666093	      0.02575059
    131.00000000	      0.66000000	      0.02666190	      0.02576512
    132.00000000	      0.66500000	      0.02666316	      0.02576604
    133.00000000	      0.67000000	      0.02664715	      0.02579623
    134.00000000	      0.67500000	      0.02664893	      0.02580899
    135.00000000	      0.68000000	      0.02663265	      0.02583499
    136.00000000	      0.68500000	      0.02662435	      0.02585891
    137.00000000	      0.69000000	      0.02661259	      0.02588628
    138.00000000	      0.69500000	      0.02660752	      0.02589868
    139.00000000	      0.70000000	      0.02661243	      0.02590350
    140.00000000	      0.70500000	      0.02661301	      0.02591930
    141.00000000	      0.71000000	      0.02659541	      0.02594901
    142.00000000	      0.71500000	      0.02658872	      0.02597080
    143.00000000	      0.72000000	      0.02657902	      0.02599958
    144.00000000	      0.72500000	      0.02658038	      0.02600559
    145.00000000	      0.73000000	      0.02655545	      0.02605172
    146.00000000	      0.73500000	      0.02653195	      0.02609152
    147.00000000	      0.74000000	      0.02651550	      0.02612340
    148.00000000	      0.74500000	      0.02650599	      0.02614897
    149.00000000	      0.75000000	      0.02647685	      0.02620142
    150.00000000	      0.75500000	      0.02646814	      0.02623093
    151.00000000	      0.76000000	      0.02644016	      0.02628292
    152.00000000	      0.76500000	      0.02641346	      0.02633930
    153.00000000	      0.77000000	      0.02638194	      0.02639964
    154.00000000	      0.77500000	      0.02635775	      0.02645927
    155.00000000	      0.78000000	      0.02633400	      0.02650717
    156.00000000	      0.78500000	      0.02631230	      0.02655094
    157.00000000	      0.79000000	      0.02629877	      0.02658312
    158.00000000	      0.79500000	      0.02628772	      0.02660657
    159.00000000	      0.80000000	      0.02628730	      0.02662484
    160.00000000	      0.80500000	      0.02629760	      0.02663856
    161.00000000	      0.81000000	      0.02630924	      0.02665235
    162.00000000	      0.81500000	      0.02632637	      0.02665793
    163.00000000	      0.82000000	      0.02634498	      0.02665902
    164.00000000	      0.82500000	      0.02637370	      0.02666176
