UNKNOWN
version=1
nRows=100
nColumns=4
inDegrees=no
endheader
time	ankle_flx	MG	TA
      0.00000000	    -60.00014031	      0.02499431	      0.02682528
      1.00000000	    -58.48498525	      0.02502321	      0.02683833
      2.00000000	    -56.96983019	      0.02505455	      0.02682556
      3.00000000	    -55.45467513	      0.02508830	      0.02677490
      4.00000000	    -53.93952007	      0.02512440	      0.02671923
      5.00000000	    -52.42436501	      0.02516280	      0.02666176
      6.00000000	    -50.90920996	      0.02520344	      0.02660286
      7.00000000	    -49.39405490	      0.02524626	      0.02654264
      8.00000000	    -47.87889984	      0.02529120	      0.02648111
      9.00000000	    -46.36374478	      0.02533820	      0.02641829
     10.00000000	    -44.84858972	      0.02538717	      0.02635418
     11.00000000	    -43.33343467	      0.02543807	      0.02628878
     12.00000000	    -41.81827961	      0.02549080	      0.02622209
     13.00000000	    -40.30312455	      0.02554529	      0.02615409
     14.00000000	    -38.78796949	      0.02560147	      0.02608480
     15.00000000	    -37.27281443	      0.02565925	      0.02601420
     16.00000000	    -35.75765937	      0.02571855	      0.02594229
     17.00000000	    -34.24250432	      0.02577930	      0.02586906
     18.00000000	    -32.72734926	      0.02584139	      0.02579452
     19.00000000	    -31.21219420	      0.02590475	      0.02571866
     20.00000000	    -29.69703914	      0.02596928	      0.02564149
     21.00000000	    -28.18188408	      0.02603491	      0.02556299
     22.00000000	    -26.66672902	      0.02610154	      0.02548318
     23.00000000	    -25.15157397	      0.02616907	      0.02540205
     24.00000000	    -23.63641891	      0.02623743	      0.02531960
     25.00000000	    -22.12126385	      0.02630652	      0.02523585
     26.00000000	    -20.60610879	      0.02637626	      0.02515078
     27.00000000	    -19.09095373	      0.02644655	      0.02506432
     28.00000000	    -17.57579868	      0.02651730	      0.02497557
     29.00000000	    -16.06064362	      0.02658844	      0.02488435
     30.00000000	    -14.54548856	      0.02665987	      0.02479067
     31.00000000	    -13.03033350	      0.02673152	      0.02469458
     32.00000000	    -11.51517844	      0.02680329	      0.02459611
     33.00000000	    -10.00002338	      0.02687512	      0.02449529
     34.00000000	     -8.48486833	      0.02694691	      0.02439270
     35.00000000	     -6.96971327	      0.02701860	      0.02428886
     36.00000000	     -5.45455821	      0.02709012	      0.02418382
     37.00000000	     -3.93940315	      0.02716138	      0.02407760
     38.00000000	     -2.42424809	      0.02723233	      0.02397023
     39.00000000	     -0.90909303	      0.02730289	      0.02386175
     40.00000000	      0.60606202	      0.02737301	      0.02375220
     41.00000000	      2.12121708	      0.02744262	      0.02364161
     42.00000000	      3.63637214	      0.02751167	      0.02353003
     43.00000000	      5.15152720	      0.02758010	      0.02341749
     44.00000000	      6.66668226	      0.02764787	      0.02330405
     45.00000000	      8.18183731	      0.02771491	      0.02318975
     46.00000000	      9.69699237	      0.02778120	      0.02307463
     47.00000000	     11.21214743	      0.02784668	      0.02295876
     48.00000000	     12.72730249	      0.02791132	      0.02284219
     49.00000000	     14.24245755	      0.02797508	      0.02272498
     50.00000000	     15.75761261	      0.02803792	      0.02260720
     51.00000000	     17.27276766	      0.02809982	      0.02248892
     52.00000000	     18.78792272	      0.02816075	      0.02237023
     53.00000000	     20.30307778	      0.02822069	      0.02225121
     54.00000000	     21.81823284	      0.02827960	      0.02213198
     55.00000000	     23.33338790	      0.02833747	      0.02201266
     56.00000000	     24.84854296	      0.02839428	      0.02189339
     57.00000000	     26.36369801	      0.02845001	      0.02177436
     58.00000000	     27.87885307	      0.02850465	      0.02165579
     59.00000000	     29.39400813	      0.02855819	      0.02153797
     60.00000000	     30.90916319	      0.02861061	      0.02142129
     61.00000000	     32.42431825	      0.02866191	      0.02130631
     62.00000000	     33.93947330	      0.02871208	      0.02119383
     63.00000000	     35.45462836	      0.02876111	      0.02108512
     64.00000000	     36.96978342	      0.02880900	      0.02098245
     65.00000000	     38.48493848	      0.02885575	      0.02089061
     66.00000000	     40.00009354	      0.02890135	      0.02029987
     67.00000000	     41.51524860	      0.02894580	      0.02016467
     68.00000000	     43.03040365	      0.02898910	      0.02003025
     69.00000000	     44.54555871	      0.02903126	      0.01989673
     70.00000000	     46.06071377	      0.02907226	      0.01976424
     71.00000000	     47.57586883	      0.02911213	      0.01963288
     72.00000000	     49.09102389	      0.02915085	      0.01950278
     73.00000000	     50.60617895	      0.02918844	      0.01937405
     74.00000000	     52.12133400	      0.02922489	      0.01924681
     75.00000000	     53.63648906	      0.02926021	      0.01912116
     76.00000000	     55.15164412	      0.02929441	      0.01899724
     77.00000000	     56.66679918	      0.02932748	      0.01887514
     78.00000000	     58.18195424	      0.02935944	      0.01875498
     79.00000000	     59.69710929	      0.02939030	      0.01863689
     80.00000000	     61.21226435	      0.02942005	      0.01852095
     81.00000000	     62.72741941	      0.02944870	      0.01840729
     82.00000000	     64.24257447	      0.02947625	      0.01829602
     83.00000000	     65.75772953	      0.02950272	      0.01818724
     84.00000000	     67.27288459	      0.02952811	      0.01808105
     85.00000000	     68.78803964	      0.02955243	      0.01797756
     86.00000000	     70.30319470	      0.02957568	      0.01787688
     87.00000000	     71.81834976	      0.02959786	      0.01777909
     88.00000000	     73.33350482	      0.02961898	      0.01768431
     89.00000000	     74.84865988	      0.02963905	      0.01759262
     90.00000000	     76.36381494	      0.02965808	      0.01750411
     91.00000000	     77.87896999	      0.02967606	      0.01741888
     92.00000000	     79.39412505	      0.02969300	      0.01733701
     93.00000000	     80.90928011	      0.02970891	      0.01725859
     94.00000000	     82.42443517	      0.02972379	      0.01718370
     95.00000000	     83.93959023	      0.02973765	      0.01711242
     96.00000000	     85.45474528	      0.02975049	      0.01704482
     97.00000000	     86.96990034	      0.02976231	      0.01698097
     98.00000000	     88.48505540	      0.02977312	      0.01692095
     99.00000000	     90.00021046	      0.02978292	      0.01686481
