UNKNOWN
version=1
nRows=6001
nColumns=4
inDegrees=no
endheader
time	Coordinates(Deg.)	MG	TA
      0.00000000	      0.00000000	      0.02812197	      0.02377790
      1.00000000	      0.02000000	      0.02832026	      0.02341575
      2.00000000	      0.04000000	      0.02850750	      0.02305171
      3.00000000	      0.06000000	      0.02867955	      0.02269551
      4.00000000	      0.08000000	      0.02883345	      0.02235709
      5.00000000	      0.10000000	      0.02896734	      0.02204604
      6.00000000	      0.12000000	      0.02908029	      0.02177117
      7.00000000	      0.14000000	      0.02917211	      0.02153988
      8.00000000	      0.16000000	      0.02924302	      0.02135766
      9.00000000	      0.18000000	      0.02929350	      0.02122738
     10.00000000	      0.20000000	      0.02932402	      0.02114918
     11.00000000	      0.22000000	      0.02933496	      0.02112144
     12.00000000	      0.24000000	      0.02932644	      0.02114304
     13.00000000	      0.26000000	      0.02929836	      0.02121489
     14.00000000	      0.28000000	      0.02925038	      0.02133867
     15.00000000	      0.30000000	      0.02918202	      0.02151456
     16.00000000	      0.32000000	      0.02909282	      0.02174001
     17.00000000	      0.34000000	      0.02898248	      0.02200986
     18.00000000	      0.36000000	      0.02885115	      0.02231688
     19.00000000	      0.38000000	      0.02869965	      0.02265242
     20.00000000	      0.40000000	      0.02852971	      0.02300695
     21.00000000	      0.42000000	      0.02834415	      0.02337056
     22.00000000	      0.44000000	      0.02814697	      0.02373345
     23.00000000	      0.46000000	      0.02794326	      0.02408648
     24.00000000	      0.48000000	      0.02773891	      0.02442152
     25.00000000	      0.50000000	      0.02754018	      0.02472906
     26.00000000	      0.52000000	      0.02735314	      0.02499789
     27.00000000	      0.54000000	      0.02718315	      0.02522730
     28.00000000	      0.56000000	      0.02703444	      0.02542266
     29.00000000	      0.58000000	      0.02690997	      0.02558377
     30.00000000	      0.60000000	      0.02681146	      0.02571024
     31.00000000	      0.62000000	      0.02673964	      0.02580212
     32.00000000	      0.64000000	      0.02669466	      0.02585961
     33.00000000	      0.66000000	      0.02667640	      0.02588296
     34.00000000	      0.68000000	      0.02668476	      0.02587227
     35.00000000	      0.70000000	      0.02671979	      0.02582749
     36.00000000	      0.72000000	      0.02678163	      0.02574842
     37.00000000	      0.74000000	      0.02687027	      0.02563482
     38.00000000	      0.76000000	      0.02698523	      0.02548657
     39.00000000	      0.78000000	      0.02712521	      0.02530386
     40.00000000	      0.80000000	      0.02728771	      0.02508744
     41.00000000	      0.82000000	      0.02746899	      0.02483367
     42.00000000	      0.84000000	      0.02766405	      0.02453998
     43.00000000	      0.86000000	      0.02786705	      0.02421350
     44.00000000	      0.88000000	      0.02807172	      0.02386628
     45.00000000	      0.90000000	      0.02827197	      0.02350603
     46.00000000	      0.92000000	      0.02846238	      0.02314157
     47.00000000	      0.94000000	      0.02863852	      0.02278250
     48.00000000	      0.96000000	      0.02879713	      0.02243876
     49.00000000	      0.98000000	      0.02893609	      0.02212007
     50.00000000	      1.00000000	      0.02905428	      0.02183547
     51.00000000	      1.02000000	      0.02915132	      0.02159279
     52.00000000	      1.04000000	      0.02922738	      0.02139803
     53.00000000	      1.06000000	      0.02928287	      0.02125477
     54.00000000	      1.08000000	      0.02931830	      0.02116378
     55.00000000	      1.10000000	      0.02933406	      0.02112370
     56.00000000	      1.12000000	      0.02933036	      0.02113307
     57.00000000	      1.14000000	      0.02930715	      0.02119230
     58.00000000	      1.16000000	      0.02926414	      0.02130310
     59.00000000	      1.18000000	      0.02920089	      0.02146621
     60.00000000	      1.20000000	      0.02911688	      0.02167977
     61.00000000	      1.22000000	      0.02901179	      0.02193922
     62.00000000	      1.24000000	      0.02888562	      0.02223779
     63.00000000	      1.26000000	      0.02873900	      0.02256713
     64.00000000	      1.28000000	      0.02857340	      0.02291787
     65.00000000	      1.30000000	      0.02839139	      0.02328015
     66.00000000	      1.32000000	      0.02819665	      0.02364411
     67.00000000	      1.34000000	      0.02799403	      0.02400039
     68.00000000	      1.36000000	      0.02778926	      0.02434057
     69.00000000	      1.38000000	      0.02758856	      0.02465630
     70.00000000	      1.40000000	      0.02739809	      0.02493504
     71.00000000	      1.42000000	      0.02722343	      0.02517369
     72.00000000	      1.44000000	      0.02706912	      0.02537741
     73.00000000	      1.46000000	      0.02693844	      0.02554707
     74.00000000	      1.48000000	      0.02683339	      0.02568213
     75.00000000	      1.50000000	      0.02675493	      0.02578256
     76.00000000	      1.52000000	      0.02670331	      0.02584856
     77.00000000	      1.54000000	      0.02667844	      0.02588035
     78.00000000	      1.56000000	      0.02668021	      0.02587809
     79.00000000	      1.58000000	      0.02670862	      0.02584177
     80.00000000	      1.60000000	      0.02676380	      0.02577122
     81.00000000	      1.62000000	      0.02684582	      0.02566620
     82.00000000	      1.64000000	      0.02695435	      0.02552653
     83.00000000	      1.66000000	      0.02708831	      0.02535231
     84.00000000	      1.68000000	      0.02724553	      0.02514415
     85.00000000	      1.70000000	      0.02742257	      0.02490035
     86.00000000	      1.72000000	      0.02761474	      0.02461634
     87.00000000	      1.74000000	      0.02781635	      0.02429661
     88.00000000	      1.76000000	      0.02802119	      0.02395385
     89.00000000	      1.78000000	      0.02822307	      0.02359604
     90.00000000	      1.80000000	      0.02841637	      0.02323175
     91.00000000	      1.82000000	      0.02859640	      0.02287043
     92.00000000	      1.84000000	      0.02875959	      0.02252197
     93.00000000	      1.86000000	      0.02890357	      0.02219619
     94.00000000	      1.88000000	      0.02902696	      0.02190236
     95.00000000	      1.90000000	      0.02912924	      0.02164866
     96.00000000	      1.92000000	      0.02921047	      0.02144159
     97.00000000	      1.94000000	      0.02927101	      0.02128538
     98.00000000	      1.96000000	      0.02931136	      0.02118151
     99.00000000	      1.98000000	      0.02933197	      0.02112899
    100.00000000	      2.00000000	      0.02933309	      0.02112616
    101.00000000	      2.02000000	      0.02931473	      0.02117289
    102.00000000	      2.04000000	      0.02927667	      0.02127076
    103.00000000	      2.06000000	      0.02921847	      0.02142097
    104.00000000	      2.08000000	      0.02913965	      0.02162236
    105.00000000	      2.10000000	      0.02903980	      0.02187099
    106.00000000	      2.12000000	      0.02891883	      0.02216059
    107.00000000	      2.14000000	      0.02877717	      0.02248315
    108.00000000	      2.16000000	      0.02861608	      0.02282950
    109.00000000	      2.18000000	      0.02843784	      0.02318985
    110.00000000	      2.20000000	      0.02824584	      0.02355429
    111.00000000	      2.22000000	      0.02804467	      0.02391330
    112.00000000	      2.24000000	      0.02783987	      0.02425819
    113.00000000	      2.26000000	      0.02763757	      0.02458117
    114.00000000	      2.28000000	      0.02744401	      0.02486970
    115.00000000	      2.30000000	      0.02726497	      0.02511807
    116.00000000	      2.32000000	      0.02710526	      0.02533008
    117.00000000	      2.34000000	      0.02696849	      0.02550824
    118.00000000	      2.36000000	      0.02685697	      0.02565190
    119.00000000	      2.38000000	      0.02677188	      0.02576090
    120.00000000	      2.40000000	      0.02671360	      0.02583540
    121.00000000	      2.42000000	      0.02668212	      0.02587565
    122.00000000	      2.44000000	      0.02667729	      0.02588182
    123.00000000	      2.46000000	      0.02669909	      0.02585395
    124.00000000	      2.48000000	      0.02674763	      0.02579191
    125.00000000	      2.50000000	      0.02682301	      0.02569545
    126.00000000	      2.52000000	      0.02692503	      0.02556437
    127.00000000	      2.54000000	      0.02705284	      0.02539868
    128.00000000	      2.56000000	      0.02720457	      0.02519883
    129.00000000	      2.58000000	      0.02737709	      0.02496453
    130.00000000	      2.60000000	      0.02756601	      0.02469037
    131.00000000	      2.62000000	      0.02776585	      0.02437834
    132.00000000	      2.64000000	      0.02797047	      0.02404049
    133.00000000	      2.66000000	      0.02817364	      0.02368566
    134.00000000	      2.68000000	      0.02836955	      0.02332212
    135.00000000	      2.70000000	      0.02855324	      0.02295915
    136.00000000	      2.72000000	      0.02872087	      0.02260657
    137.00000000	      2.74000000	      0.02886977	      0.02227428
    138.00000000	      2.76000000	      0.02899834	      0.02197172
    139.00000000	      2.78000000	      0.02910587	      0.02170739
    140.00000000	      2.80000000	      0.02919229	      0.02148827
    141.00000000	      2.82000000	      0.02925791	      0.02131922
    142.00000000	      2.84000000	      0.02930322	      0.02120239
    143.00000000	      2.86000000	      0.02932869	      0.02113732
    144.00000000	      2.88000000	      0.02933462	      0.02112228
    145.00000000	      2.90000000	      0.02932111	      0.02115661
    146.00000000	      2.92000000	      0.02928796	      0.02124165
    147.00000000	      2.94000000	      0.02923480	      0.02137889
    148.00000000	      2.96000000	      0.02916113	      0.02156786
    149.00000000	      2.98000000	      0.02906652	      0.02180529
    150.00000000	      3.00000000	      0.02895076	      0.02208543
    151.00000000	      3.02000000	      0.02881414	      0.02240064
    152.00000000	      3.04000000	      0.02865770	      0.02274199
    153.00000000	      3.06000000	      0.02848344	      0.02309980
    154.00000000	      3.08000000	      0.02829447	      0.02346414
    155.00000000	      3.10000000	      0.02809509	      0.02382534
    156.00000000	      3.12000000	      0.02789063	      0.02417447
    157.00000000	      3.14000000	      0.02768712	      0.02450374
    158.00000000	      3.16000000	      0.02749083	      0.02480188
    159.00000000	      3.18000000	      0.02730770	      0.02506033
    160.00000000	      3.20000000	      0.02714281	      0.02528066
    161.00000000	      3.22000000	      0.02700010	      0.02546730
    162.00000000	      3.24000000	      0.02688217	      0.02561953
    163.00000000	      3.26000000	      0.02679047	      0.02573711
    164.00000000	      3.28000000	      0.02672554	      0.02582014
    165.00000000	      3.30000000	      0.02668743	      0.02586886
    166.00000000	      3.32000000	      0.02667601	      0.02588346
    167.00000000	      3.34000000	      0.02669120	      0.02586404
    168.00000000	      3.36000000	      0.02673310	      0.02581048
    169.00000000	      3.38000000	      0.02680183	      0.02572257
    170.00000000	      3.40000000	      0.02689730	      0.02560008
    171.00000000	      3.42000000	      0.02701885	      0.02544295
    172.00000000	      3.44000000	      0.02716489	      0.02525149
    173.00000000	      3.46000000	      0.02733262	      0.02502621
    174.00000000	      3.48000000	      0.02751796	      0.02476202
    175.00000000	      3.50000000	      0.02771564	      0.02445859
    176.00000000	      3.52000000	      0.02791966	      0.02412608
    177.00000000	      3.54000000	      0.02812376	      0.02377473
    178.00000000	      3.56000000	      0.02832197	      0.02341252
    179.00000000	      3.58000000	      0.02850909	      0.02304851
    180.00000000	      3.60000000	      0.02868100	      0.02269243
    181.00000000	      3.62000000	      0.02883473	      0.02235420
    182.00000000	      3.64000000	      0.02896843	      0.02204344
    183.00000000	      3.66000000	      0.02908120	      0.02176892
    184.00000000	      3.68000000	      0.02917283	      0.02153805
    185.00000000	      3.70000000	      0.02924356	      0.02135627
    186.00000000	      3.72000000	      0.02929386	      0.02122646
    187.00000000	      3.74000000	      0.02932421	      0.02114872
    188.00000000	      3.76000000	      0.02933496	      0.02112141
    189.00000000	      3.78000000	      0.02932627	      0.02114346
    190.00000000	      3.80000000	      0.02929802	      0.02121575
    191.00000000	      3.82000000	      0.02924986	      0.02134000
    192.00000000	      3.84000000	      0.02918132	      0.02151634
    193.00000000	      3.86000000	      0.02909193	      0.02174222
    194.00000000	      3.88000000	      0.02898141	      0.02201242
    195.00000000	      3.90000000	      0.02884990	      0.02231973
    196.00000000	      3.92000000	      0.02869823	      0.02265549
    197.00000000	      3.94000000	      0.02852813	      0.02301014
    198.00000000	      3.96000000	      0.02834245	      0.02337378
    199.00000000	      3.98000000	      0.02814519	      0.02373663
    200.00000000	      4.00000000	      0.02794144	      0.02408953
    201.00000000	      4.02000000	      0.02773712	      0.02442438
    202.00000000	      4.04000000	      0.02753846	      0.02473161
    203.00000000	      4.06000000	      0.02735155	      0.02500008
    204.00000000	      4.08000000	      0.02718173	      0.02522917
    205.00000000	      4.10000000	      0.02703323	      0.02542423
    206.00000000	      4.12000000	      0.02690899	      0.02558504
    207.00000000	      4.14000000	      0.02681070	      0.02571121
    208.00000000	      4.16000000	      0.02673913	      0.02580278
    209.00000000	      4.18000000	      0.02669438	      0.02585997
    210.00000000	      4.20000000	      0.02667636	      0.02588302
    211.00000000	      4.22000000	      0.02668495	      0.02587202
    212.00000000	      4.24000000	      0.02672022	      0.02582694
    213.00000000	      4.26000000	      0.02678230	      0.02574757
    214.00000000	      4.28000000	      0.02687117	      0.02563366
    215.00000000	      4.30000000	      0.02698637	      0.02548510
    216.00000000	      4.32000000	      0.02712655	      0.02530209
    217.00000000	      4.34000000	      0.02728924	      0.02508538
    218.00000000	      4.36000000	      0.02747066	      0.02483125
    219.00000000	      4.38000000	      0.02766582	      0.02453721
    220.00000000	      4.40000000	      0.02786886	      0.02421051
    221.00000000	      4.42000000	      0.02807352	      0.02386314
    222.00000000	      4.44000000	      0.02827370	      0.02350281
    223.00000000	      4.46000000	      0.02846400	      0.02313835
    224.00000000	      4.48000000	      0.02864000	      0.02277938
    225.00000000	      4.50000000	      0.02879845	      0.02243581
    226.00000000	      4.52000000	      0.02893723	      0.02211739
    227.00000000	      4.54000000	      0.02905523	      0.02183313
    228.00000000	      4.56000000	      0.02915209	      0.02159085
    229.00000000	      4.58000000	      0.02922796	      0.02139654
    230.00000000	      4.60000000	      0.02928327	      0.02125373
    231.00000000	      4.62000000	      0.02931852	      0.02116320
    232.00000000	      4.64000000	      0.02933411	      0.02112357
    233.00000000	      4.66000000	      0.02933024	      0.02113338
    234.00000000	      4.68000000	      0.02930686	      0.02119305
    235.00000000	      4.70000000	      0.02926367	      0.02130432
    236.00000000	      4.72000000	      0.02920023	      0.02146788
    237.00000000	      4.74000000	      0.02911605	      0.02168187
    238.00000000	      4.76000000	      0.02901077	      0.02194170
    239.00000000	      4.78000000	      0.02888441	      0.02224058
    240.00000000	      4.80000000	      0.02873761	      0.02257015
    241.00000000	      4.82000000	      0.02857186	      0.02292104
    242.00000000	      4.84000000	      0.02838971	      0.02328338
    243.00000000	      4.86000000	      0.02819489	      0.02364731
    244.00000000	      4.88000000	      0.02799222	      0.02400348
    245.00000000	      4.90000000	      0.02778746	      0.02434348
    246.00000000	      4.92000000	      0.02758682	      0.02465894
    247.00000000	      4.94000000	      0.02739646	      0.02493733
    248.00000000	      4.96000000	      0.02722197	      0.02517564
    249.00000000	      4.98000000	      0.02706786	      0.02537907
    250.00000000	      5.00000000	      0.02693740	      0.02554841
    251.00000000	      5.02000000	      0.02683258	      0.02568317
    252.00000000	      5.04000000	      0.02675436	      0.02578330
    253.00000000	      5.06000000	      0.02670297	      0.02584899
    254.00000000	      5.08000000	      0.02667834	      0.02588048
    255.00000000	      5.10000000	      0.02668034	      0.02587792
    256.00000000	      5.12000000	      0.02670899	      0.02584130
    257.00000000	      5.14000000	      0.02676441	      0.02577044
    258.00000000	      5.16000000	      0.02684667	      0.02566511
    259.00000000	      5.18000000	      0.02695542	      0.02552514
    260.00000000	      5.20000000	      0.02708960	      0.02535062
    261.00000000	      5.22000000	      0.02724701	      0.02514216
    262.00000000	      5.24000000	      0.02742422	      0.02489801
    263.00000000	      5.26000000	      0.02761649	      0.02461365
    264.00000000	      5.28000000	      0.02781816	      0.02429366
    265.00000000	      5.30000000	      0.02802299	      0.02395074
    266.00000000	      5.32000000	      0.02822483	      0.02359284
    267.00000000	      5.34000000	      0.02841803	      0.02322853
    268.00000000	      5.36000000	      0.02859792	      0.02286728
    269.00000000	      5.38000000	      0.02876095	      0.02251897
    270.00000000	      5.40000000	      0.02890475	      0.02219344
    271.00000000	      5.42000000	      0.02902796	      0.02189993
    272.00000000	      5.44000000	      0.02913005	      0.02164661
    273.00000000	      5.46000000	      0.02921109	      0.02143998
    274.00000000	      5.48000000	      0.02927145	      0.02128423
    275.00000000	      5.50000000	      0.02931163	      0.02118082
    276.00000000	      5.52000000	      0.02933207	      0.02112875
    277.00000000	      5.54000000	      0.02933301	      0.02112635
    278.00000000	      5.56000000	      0.02931448	      0.02117352
    279.00000000	      5.58000000	      0.02927624	      0.02127186
    280.00000000	      5.60000000	      0.02921787	      0.02142253
    281.00000000	      5.62000000	      0.02913886	      0.02162436
    282.00000000	      5.64000000	      0.02903883	      0.02187339
    283.00000000	      5.66000000	      0.02891766	      0.02216332
